Date,Price,Open,High,Low,Vol.,Change %
12/30/2024,219.18,216.07,220.55,216.07,984.54K,1.59%
12/27/2024,215.74,218.0,218.5,213.9,3.85M,0.86%
12/26/2024,213.91,211.0,218.0,204.12,3.83M,1.68%
12/24/2024,210.38,216.99,223.1,207.0,8.77M,-2.39%
12/23/2024,215.53,199.9,216.7,198.99,10.27M,9.21%
12/20/2024,197.36,194.0,198.7,190.01,2.66M,1.78%
12/19/2024,193.91,204.5,205.95,186.2,5.82M,-4.49%
12/18/2024,203.02,214.0,224.0,195.86,15.49M,-2.29%
12/17/2024,207.77,192.0,208.93,191.0,14.37M,9.39%
12/16/2024,189.94,191.94,196.49,188.0,6.21M,0.05%
12/13/2024,189.85,189.5,198.0,188.5,8.15M,0.22%
12/12/2024,189.43,187.88,206.78,185.1,25.21M,0.77%
12/11/2024,187.98,177.99,192.0,175.11,12.01M,5.57%
12/10/2024,178.07,196.0,197.84,178.07,7.71M,-10.00%
12/09/2024,197.85,201.0,208.0,195.66,8.27M,1.83%
12/06/2024,194.29,176.0,194.29,176.0,9.23M,10.00%
12/05/2024,176.63,171.5,179.3,169.0,8.82M,4.73%
12/04/2024,168.65,157.0,170.74,156.5,13.01M,8.65%
12/03/2024,155.22,143.0,156.72,141.0,18.46M,8.95%
12/02/2024,142.47,137.55,143.4,137.55,7.61M,4.50%
11/29/2024,136.34,134.8,138.2,132.7,4.92M,1.60%
11/28/2024,134.19,129.7,138.0,128.15,7.21M,4.05%
11/27/2024,128.97,129.9,130.72,127.26,1.22M,3.12%
11/26/2024,125.07,130.01,133.15,123.0,2.33M,-4.69%
11/25/2024,131.22,129.01,132.3,127.01,1.91M,1.67%
11/22/2024,129.06,130.0,133.5,127.8,3.34M,-0.36%
11/21/2024,129.53,132.0,132.25,129.01,1.60M,-1.67%
11/20/2024,131.73,130.0,136.99,129.8,9.71M,1.87%
11/19/2024,129.31,127.8,131.35,126.9,3.40M,1.82%
11/18/2024,127.0,128.49,128.49,126.82,623.33K,-0.50%
11/15/2024,127.64,127.99,128.8,127.5,636.88K,-0.05%
11/14/2024,127.7,127.2,130.0,127.2,1.25M,0.52%
11/13/2024,127.04,127.99,128.0,126.8,761.88K,-0.74%
11/12/2024,127.99,128.25,129.48,127.07,722.76K,-0.12%
11/11/2024,128.14,130.0,130.0,127.2,863.99K,-1.07%
11/08/2024,129.52,129.81,130.49,128.45,1.10M,-0.11%
11/07/2024,129.66,127.63,130.8,125.01,2.56M,1.60%
11/06/2024,127.62,130.49,131.49,127.31,1.90M,-1.61%
11/05/2024,129.71,134.4,134.61,129.0,3.17M,-2.64%
11/04/2024,133.23,125.23,134.69,124.5,8.65M,7.43%
11/01/2024,124.01,122.19,124.5,121.2,1.08M,1.84%
10/31/2024,121.77,123.55,124.9,121.01,2.05M,-0.37%
10/30/2024,122.22,125.42,127.0,119.12,3.16M,-2.55%
10/29/2024,125.42,129.98,130.0,125.25,4.32M,-6.25%
10/28/2024,133.78,134.0,138.0,132.5,3.98M,-0.08%
10/25/2024,133.89,137.23,137.9,133.01,2.42M,-2.06%
10/24/2024,136.7,138.0,138.66,136.63,1.87M,-0.26%
10/23/2024,137.06,138.45,139.3,136.95,2.01M,-0.59%
10/22/2024,137.88,137.49,139.35,136.97,3.91M,0.72%
10/21/2024,136.89,137.0,138.95,136.2,2.04M,0.42%
10/18/2024,136.32,137.0,137.95,135.25,2.50M,-0.13%
10/17/2024,136.5,139.69,141.5,135.9,3.38M,-1.59%
10/16/2024,138.7,141.6,141.88,137.6,2.73M,-1.42%
10/15/2024,140.7,135.5,143.0,134.0,6.21M,4.45%
10/14/2024,134.7,133.6,135.9,133.0,2.20M,1.28%
10/11/2024,133.0,135.33,136.25,125.06,6.41M,-2.67%
10/10/2024,136.65,140.0,140.0,134.25,4.56M,-3.37%
10/09/2024,141.42,143.43,144.6,138.2,6.44M,-1.46%
10/08/2024,143.51,143.0,147.2,142.75,11.45M,-1.37%
10/07/2024,145.5,143.11,149.45,141.0,16.18M,1.96%
10/04/2024,142.7,135.54,146.89,135.39,19.20M,5.71%
10/03/2024,134.99,134.99,135.85,133.81,4.45M,0.93%
10/02/2024,133.75,131.5,135.89,131.49,8.25M,1.51%
10/01/2024,131.76,129.89,132.0,129.7,3.00M,1.20%
09/30/2024,130.2,129.75,131.85,128.51,6.68M,2.36%
09/27/2024,127.2,130.01,130.01,125.3,2.44M,-1.70%
09/26/2024,129.4,131.5,132.0,129.0,2.98M,0.00%
09/25/2024,129.4,128.99,133.45,128.02,5.95M,0.31%
09/24/2024,129.0,132.49,132.8,127.2,4.61M,-2.42%
09/23/2024,132.2,132.3,134.98,131.51,3.46M,-0.23%
09/20/2024,132.5,124.5,133.85,121.0,10.86M,7.37%
09/19/2024,123.4,131.01,132.01,122.22,4.36M,-7.51%
09/18/2024,133.42,136.15,139.49,132.1,7.35M,-2.06%
09/16/2024,136.23,138.25,138.25,135.5,1.43M,-0.88%
09/13/2024,137.44,140.99,142.0,136.25,5.52M,-0.98%
09/12/2024,138.8,136.75,141.98,136.11,10.45M,1.50%
09/11/2024,136.75,139.9,140.0,136.0,6.31M,-1.22%
09/10/2024,138.44,140.5,141.0,136.7,3.91M,-1.54%
09/09/2024,140.6,143.2,144.44,139.02,3.37M,-1.82%
09/06/2024,143.2,141.06,145.26,141.06,3.78M,0.28%
09/05/2024,142.8,144.0,145.3,142.12,3.15M,-0.46%
09/04/2024,143.46,142.98,145.89,142.5,7.33M,0.54%
09/03/2024,142.69,141.0,146.1,140.01,8.98M,0.56%
09/02/2024,141.9,147.5,148.5,135.35,15.69M,-3.54%
08/30/2024,147.1,147.31,151.39,146.46,9.13M,-0.27%
08/29/2024,147.5,139.98,151.83,139.98,21.23M,6.12%
08/28/2024,139.0,137.5,141.99,136.1,10.47M,1.31%
08/27/2024,137.2,138.3,140.02,136.25,4.55M,-0.47%
08/26/2024,137.85,135.97,141.6,135.04,11.83M,1.88%
08/23/2024,135.3,137.4,138.0,134.8,5.46M,-1.46%
08/22/2024,137.31,136.26,138.9,132.5,7.33M,1.34%
08/21/2024,135.5,141.8,141.8,134.8,6.17M,-3.05%
08/20/2024,139.76,136.95,143.75,136.02,13.20M,6.21%
08/19/2024,131.59,141.1,142.8,130.1,10.72M,-6.74%
08/16/2024,141.1,137.5,144.76,137.5,18.20M,2.62%
