Date,Price,Open,High,Low,Vol.,Change %
12/13/2024,668.94,655.0,676.99,634.0,2.40M,2.22%
12/12/2024,654.44,616.99,659.9,616.99,2.49M,6.35%
12/11/2024,615.36,599.02,620.0,599.02,2.37M,4.62%
12/10/2024,588.2,542.0,595.35,542.0,5.19M,8.68%
12/09/2024,541.23,538.0,545.5,532.0,750.40K,0.78%
12/06/2024,537.04,549.0,550.1,533.0,899.00K,-1.99%
12/05/2024,547.94,550.0,550.0,532.01,2.44M,3.64%
12/04/2024,528.69,519.9,542.0,509.01,3.30M,2.32%
12/03/2024,516.71,511.89,519.7,506.1,1.98M,1.01%
12/02/2024,511.56,507.97,519.5,503.3,1.34M,0.57%
11/29/2024,508.65,503.01,522.0,503.0,2.52M,1.57%
11/28/2024,500.77,473.27,509.0,473.0,2.49M,5.81%
11/27/2024,473.26,470.0,477.0,460.01,1.81M,6.07%
11/26/2024,446.18,479.99,479.99,440.0,2.11M,-6.69%
11/25/2024,478.15,471.99,484.0,465.0,1.90M,0.53%
11/22/2024,475.61,500.0,500.0,470.0,1.87M,-4.95%
11/21/2024,500.39,499.7,506.1,490.01,1.04M,0.13%
11/20/2024,499.72,510.99,511.5,488.2,1.92M,-1.69%
11/19/2024,508.33,513.97,516.8,505.05,1.15M,-0.58%
11/18/2024,511.3,518.7,526.9,505.1,2.02M,0.27%
11/15/2024,509.94,499.98,518.97,499.0,4.41M,3.01%
11/14/2024,495.06,461.16,500.1,461.16,5.80M,7.41%
11/13/2024,460.89,475.0,475.0,457.0,2.22M,-2.38%
11/12/2024,472.11,473.91,486.0,466.0,3.30M,-0.38%
11/11/2024,473.9,495.9,540.0,453.03,10.68M,-4.04%
11/08/2024,493.87,455.0,499.85,454.0,4.60M,8.68%
11/07/2024,454.41,455.0,464.0,452.25,1.16M,-0.15%
11/06/2024,455.09,457.98,464.46,448.49,2.43M,-0.82%
11/05/2024,458.85,457.0,466.98,451.0,1.55M,0.88%
11/04/2024,454.84,448.0,458.51,448.0,1.93M,2.68%
11/01/2024,442.97,435.99,445.0,427.71,1.50M,2.00%
10/31/2024,434.27,457.0,459.99,428.2,3.56M,-4.43%
10/30/2024,454.39,465.11,471.9,452.9,1.28M,-1.50%
10/29/2024,461.29,450.0,481.0,450.0,2.51M,1.79%
10/28/2024,453.18,469.74,471.74,450.75,2.18M,-2.86%
10/25/2024,466.5,470.0,493.0,463.03,4.41M,-2.91%
10/24/2024,480.5,499.0,509.0,480.5,5.18M,-3.32%
10/23/2024,497.0,467.0,498.0,450.01,5.30M,6.99%
10/22/2024,464.52,440.0,467.54,437.1,8.06M,9.29%
10/21/2024,425.04,387.46,425.04,387.46,5.30M,10.40%
10/18/2024,385.0,382.11,396.0,374.5,4.70M,-0.13%
10/17/2024,385.5,400.0,402.0,374.0,6.88M,-3.14%
10/16/2024,397.99,390.0,415.0,383.6,6.68M,5.14%
10/15/2024,378.55,363.75,378.55,363.63,7.32M,10.00%
10/14/2024,344.14,314.0,344.14,314.0,4.85M,10.12%
10/11/2024,312.5,301.19,314.5,301.19,3.04M,4.03%
10/10/2024,300.4,300.01,304.0,299.0,1.35M,0.39%
10/09/2024,299.24,294.0,306.01,293.5,5.15M,-1.66%
10/08/2024,304.3,309.97,314.8,302.8,3.31M,-1.52%
10/07/2024,309.0,318.8,319.0,309.0,1.31M,-2.97%
10/04/2024,318.47,310.02,319.5,310.02,795.29K,1.42%
10/03/2024,314.01,328.64,328.64,313.51,1.18M,-3.69%
10/02/2024,326.05,326.0,331.99,324.06,357.18K,-0.75%
10/01/2024,328.5,322.5,330.99,322.5,833.90K,1.92%
09/30/2024,322.31,320.01,323.99,317.0,357.48K,1.04%
09/27/2024,319.0,323.0,326.24,317.87,419.90K,-1.55%
09/26/2024,324.01,335.98,337.41,323.0,1.67M,1.55%
09/25/2024,319.05,320.89,322.9,318.5,339.22K,-0.60%
09/24/2024,320.99,323.2,324.99,318.67,153.47K,-0.64%
09/23/2024,323.05,323.8,326.5,320.11,395.70K,0.33%
09/20/2024,321.98,324.5,325.49,317.07,436.82K,-0.01%
09/19/2024,322.0,326.0,332.0,319.25,970.75K,-0.93%
09/18/2024,325.01,329.9,329.9,322.31,276.89K,-0.76%
09/16/2024,327.5,331.0,332.75,326.0,89.52K,-0.91%
09/13/2024,330.51,338.88,338.88,330.0,604.65K,-1.34%
09/12/2024,335.0,335.0,337.5,334.11,230.04K,0.30%
09/11/2024,334.0,335.02,340.5,333.0,634.56K,-0.88%
09/10/2024,336.98,339.0,339.0,332.0,986.33K,-0.01%
09/09/2024,337.0,340.28,345.0,336.5,250.39K,-1.87%
09/06/2024,343.41,345.1,347.27,341.0,228.82K,-0.49%
09/05/2024,345.1,351.0,352.0,344.85,373.80K,-1.39%
09/04/2024,349.98,345.7,352.5,344.0,482.61K,1.18%
09/03/2024,345.9,344.48,348.99,341.5,373.39K,0.84%
09/02/2024,343.02,349.98,357.0,343.0,1.20M,-1.71%
08/30/2024,349.0,350.39,355.75,346.78,533.61K,-0.48%
08/29/2024,350.7,350.0,353.45,349.0,214.26K,0.00%
08/28/2024,350.7,350.0,355.4,350.0,635.24K,-0.09%
08/27/2024,351.0,347.02,351.96,344.8,763.63K,1.09%
08/26/2024,347.2,351.41,352.9,345.5,188.73K,-0.91%
08/23/2024,350.4,360.0,360.0,350.0,764.65K,-3.12%
08/22/2024,361.7,357.5,364.95,354.05,2.14M,3.14%
08/21/2024,350.7,348.0,356.0,347.0,512.86K,1.36%
08/20/2024,345.99,344.16,349.4,343.01,203.21K,0.87%
08/19/2024,343.0,346.0,349.5,342.26,266.19K,-1.15%
08/16/2024,347.0,349.89,353.74,343.9,1.08M,-0.28%
08/15/2024,347.96,348.0,354.0,345.1,641.93K,0.68%
08/13/2024,345.6,348.2,349.97,345.0,259.32K,-0.52%
08/12/2024,347.4,355.0,359.0,345.0,842.03K,-1.86%
08/09/2024,354.0,359.99,360.9,350.05,600.21K,-1.39%
08/08/2024,358.99,353.0,360.0,350.6,1.07M,1.29%
08/07/2024,354.43,352.0,361.4,349.5,1.90M,1.12%
08/06/2024,350.5,355.99,361.5,349.88,616.33K,-0.99%
08/05/2024,353.99,366.99,368.99,349.0,2.41M,-4.00%
08/02/2024,368.75,341.0,373.5,340.5,4.96M,8.14%
08/01/2024,341.0,340.05,342.4,336.51,266.25K,0.29%
07/31/2024,340.0,346.0,349.8,336.0,603.32K,-1.30%
