Date,Price,Open,High,Low,Vol.,Change %
01/03/2025,222.51,219.0,230.5,210.52,217.53K,2.34%
01/02/2025,217.42,201.5,217.42,201.5,354.85K,10.00%
01/01/2025,197.65,197.0,202.5,197.0,29.37K,-1.40%
12/31/2024,200.45,209.7,213.0,199.0,83.27K,-3.60%
12/30/2024,207.93,216.9,216.9,202.2,92.23K,-0.45%
12/27/2024,208.88,186.5,208.88,186.5,397.62K,10.00%
12/26/2024,189.89,186.05,193.0,180.85,101.86K,0.49%
12/24/2024,188.96,198.42,198.42,188.0,68.32K,-4.77%
12/23/2024,198.42,199.99,202.0,195.1,124.60K,-0.19%
12/20/2024,198.8,200.01,203.85,195.0,136.24K,-0.75%
12/19/2024,200.3,204.0,206.99,195.01,201.95K,0.11%
12/18/2024,200.07,224.99,224.99,198.84,331.52K,-9.44%
12/17/2024,220.93,212.0,228.0,212.0,381.66K,5.47%
12/16/2024,209.47,194.0,209.47,190.43,760.48K,10.00%
12/13/2024,190.43,190.43,190.43,185.0,1.13M,10.00%
12/12/2024,173.12,157.38,173.12,156.82,571.73K,10.00%
12/11/2024,157.38,159.99,163.27,154.21,128.19K,-0.64%
12/10/2024,158.4,167.0,173.0,155.0,335.32K,-3.91%
12/09/2024,164.85,161.75,168.0,157.11,182.32K,1.92%
12/06/2024,161.75,170.0,173.8,161.0,175.68K,-4.96%
12/05/2024,170.19,179.99,182.0,168.68,214.41K,-5.02%
