Date,Price,Open,High,Low,Vol.,Change %
12/13/2024,105.99,108.5,108.7,104.28,7.24M,-2.43%
12/12/2024,108.63,108.5,110.98,106.62,7.49M,0.67%
12/11/2024,107.91,108.0,110.2,106.6,5.93M,0.95%
12/10/2024,106.89,108.0,112.39,102.0,18.22M,1.15%
12/09/2024,105.67,96.55,106.27,95.81,14.45M,9.38%
12/06/2024,96.61,99.8,100.25,94.5,6.32M,-1.59%
12/05/2024,98.17,94.48,99.47,92.11,14.00M,5.29%
12/04/2024,93.24,94.01,95.45,90.9,13.01M,0.31%
12/03/2024,92.95,90.25,94.74,88.1,20.41M,4.08%
12/02/2024,89.31,86.11,89.88,86.11,14.28M,4.52%
11/29/2024,85.45,85.2,86.3,84.31,4.37M,0.35%
11/28/2024,85.15,82.88,86.0,82.55,10.36M,3.92%
11/27/2024,81.94,80.25,82.49,79.22,3.81M,5.36%
11/26/2024,77.77,82.0,82.79,76.99,4.80M,-5.26%
11/25/2024,82.09,81.0,83.75,80.21,3.56M,1.40%
11/22/2024,80.96,84.01,84.86,78.78,7.97M,-3.35%
11/21/2024,83.77,84.38,85.0,83.45,1.96M,-0.37%
11/20/2024,84.08,85.64,86.4,83.9,1.56M,-1.94%
11/19/2024,85.74,85.5,86.9,85.01,1.28M,0.15%
11/18/2024,85.61,86.45,86.9,85.19,1.20M,-0.58%
11/15/2024,86.11,86.11,88.49,85.9,3.88M,0.37%
11/14/2024,85.79,86.8,87.99,85.51,3.16M,-1.22%
11/13/2024,86.85,86.79,87.99,86.5,1.71M,0.31%
11/12/2024,86.58,87.13,87.94,86.0,1.28M,-0.63%
11/11/2024,87.13,89.0,89.08,86.95,3.16M,-1.01%
11/08/2024,88.02,87.39,88.4,86.25,2.96M,1.18%
11/07/2024,86.99,88.21,88.35,86.53,2.67M,-0.66%
11/06/2024,87.57,88.55,90.05,86.81,4.34M,-0.88%
11/05/2024,88.35,90.4,90.4,86.99,8.60M,-1.49%
11/04/2024,89.69,87.5,91.0,87.48,12.03M,3.09%
11/01/2024,87.0,84.66,87.49,84.21,2.93M,3.22%
10/31/2024,84.29,85.75,86.3,84.0,2.45M,-1.65%
10/30/2024,85.7,88.0,88.75,85.2,6.74M,-2.40%
10/29/2024,87.81,86.0,89.78,86.0,9.76M,1.80%
10/28/2024,86.26,87.5,89.2,85.02,4.03M,-1.28%
10/25/2024,87.38,86.0,89.4,85.3,11.04M,2.32%
10/24/2024,85.4,83.6,86.3,83.51,7.75M,2.52%
10/23/2024,83.3,80.94,83.4,80.53,7.23M,3.48%
10/22/2024,80.5,80.74,81.72,80.05,3.32M,0.19%
10/21/2024,80.35,78.2,80.7,78.2,4.20M,2.68%
10/18/2024,78.25,79.0,79.11,77.5,1.32M,-0.33%
10/17/2024,78.51,78.79,79.4,77.8,3.27M,0.46%
10/16/2024,78.15,77.75,79.35,77.75,2.42M,0.46%
10/15/2024,77.79,78.21,78.79,77.49,2.41M,-0.27%
10/14/2024,78.0,80.92,81.7,77.9,4.56M,-3.94%
10/11/2024,81.2,80.6,81.7,78.8,3.11M,0.87%
10/10/2024,80.5,79.99,81.3,79.1,1.81M,0.64%
10/09/2024,79.99,80.5,82.0,79.46,2.29M,-0.63%
10/08/2024,80.5,79.5,82.25,78.52,5.62M,1.64%
10/07/2024,79.2,76.97,79.99,76.11,7.67M,3.66%
10/04/2024,76.4,77.32,77.6,76.1,4.54M,-1.42%
10/03/2024,77.5,75.0,78.79,75.0,6.21M,3.06%
10/02/2024,75.2,75.12,76.74,75.0,1.53M,-1.44%
10/01/2024,76.3,73.25,77.3,73.25,5.91M,3.77%
09/30/2024,73.53,73.3,73.89,73.0,884.86K,0.73%
09/27/2024,73.0,74.99,74.99,73.0,1.72M,-2.26%
09/26/2024,74.69,76.0,76.4,74.29,1.23M,-1.45%
09/25/2024,75.79,74.49,75.81,74.35,1.76M,2.14%
09/24/2024,74.2,75.05,75.38,74.0,971.52K,-1.13%
09/23/2024,75.05,76.0,76.58,74.75,1.19M,-0.99%
09/20/2024,75.8,74.94,76.4,73.5,3.41M,1.74%
09/19/2024,74.5,75.23,75.55,73.95,2.25M,-0.73%
09/18/2024,75.05,76.0,76.5,74.92,2.64M,-1.12%
09/16/2024,75.9,79.49,79.8,75.65,4.35M,-4.78%
09/13/2024,79.71,86.0,86.5,78.8,9.86M,-4.14%
09/12/2024,83.15,81.95,84.15,80.76,5.50M,1.84%
09/11/2024,81.65,82.5,83.0,81.01,2.13M,-1.03%
09/10/2024,82.5,80.93,82.65,80.8,5.55M,1.94%
09/09/2024,80.93,79.6,80.98,78.9,1.03M,2.12%
09/06/2024,79.25,79.95,79.95,78.61,541.01K,-0.75%
09/05/2024,79.85,79.01,80.43,78.73,1.47M,0.88%
09/04/2024,79.15,79.84,80.9,78.86,3.81M,-0.40%
09/03/2024,79.47,77.99,79.48,77.89,1.99M,2.61%
09/02/2024,77.45,78.0,78.29,76.4,1.53M,0.45%
08/30/2024,77.1,79.6,79.95,76.8,3.30M,-2.28%
08/29/2024,78.9,80.1,80.4,78.75,794.79K,-1.00%
08/28/2024,79.7,80.4,80.98,79.5,960.54K,-0.78%
08/27/2024,80.33,80.79,81.49,79.11,2.62M,-0.21%
08/26/2024,80.5,80.75,82.38,80.2,796.90K,-1.29%
08/23/2024,81.55,83.0,83.0,81.4,656.79K,-1.27%
08/22/2024,82.6,79.21,84.5,79.2,6.33M,5.56%
08/21/2024,78.25,77.0,78.9,77.0,1.98M,2.29%
08/20/2024,76.5,77.25,77.49,76.11,768.43K,0.26%
08/19/2024,76.3,78.75,79.25,76.3,1.55M,-2.65%
08/16/2024,78.38,77.41,81.1,77.41,4.67M,1.33%
08/15/2024,77.35,77.5,78.49,77.2,978.60K,0.00%
08/13/2024,77.35,79.0,79.6,77.2,1.65M,-3.30%
08/12/2024,79.99,81.95,81.95,78.65,2.65M,-1.32%
08/09/2024,81.06,82.9,82.9,80.01,1.87M,-1.97%
08/08/2024,82.69,82.4,83.21,81.8,2.27M,1.10%
08/07/2024,81.79,81.99,83.1,81.11,1.83M,0.39%
08/06/2024,81.47,82.01,82.6,81.0,1.01M,-0.04%
08/05/2024,81.5,85.0,85.0,81.2,2.53M,-2.78%
08/02/2024,83.83,85.79,87.0,82.6,5.22M,-2.07%
08/01/2024,85.6,85.5,85.98,83.75,1.10M,0.71%
07/31/2024,85.0,88.65,88.75,84.75,1.70M,-4.06%
07/30/2024,88.6,92.75,93.0,88.41,5.54M,-3.90%
07/29/2024,92.2,88.7,92.48,88.6,6.88M,3.83%
07/26/2024,88.8,88.0,89.45,88.0,1.53M,0.34%
07/25/2024,88.5,89.25,90.65,88.25,2.44M,-0.56%
07/24/2024,89.0,88.5,89.39,87.5,1.65M,1.34%
07/23/2024,87.82,87.6,88.75,87.3,1.92M,0.93%
07/22/2024,87.01,87.98,88.75,85.52,2.62M,0.07%
07/19/2024,86.95,90.28,91.36,86.55,5.02M,-2.96%
07/18/2024,89.6,90.7,90.7,89.4,1.85M,-0.44%
07/15/2024,90.0,89.1,91.9,89.1,5.72M,1.83%
07/12/2024,88.38,89.0,89.9,85.0,3.69M,-0.58%
07/11/2024,88.9,89.5,89.5,88.15,2.59M,-1.11%
07/10/2024,89.9,92.0,92.1,89.45,2.58M,-1.53%
07/09/2024,91.3,90.5,92.67,89.8,6.62M,1.43%
07/08/2024,90.01,89.4,91.3,88.8,2.25M,0.74%
07/05/2024,89.35,91.2,91.2,89.1,1.51M,-1.60%
07/04/2024,90.8,90.5,91.75,90.3,3.65M,0.75%
07/03/2024,90.12,90.76,91.69,90.0,6.24M,-0.40%
07/02/2024,90.48,90.0,91.17,89.81,2.45M,0.77%
07/01/2024,89.79,89.9,91.81,88.37,5.05M,-0.32%
06/28/2024,90.08,90.8,91.7,90.0,2.42M,-0.69%
06/27/2024,90.71,92.0,92.8,90.0,4.45M,-0.86%
06/26/2024,91.5,90.6,92.4,89.9,4.04M,1.43%
06/25/2024,90.21,90.4,91.6,89.55,4.61M,-0.21%
06/24/2024,90.4,91.11,92.19,89.5,2.35M,-0.69%
06/21/2024,91.03,93.05,94.09,90.63,5.49M,-3.04%
06/20/2024,93.88,93.0,95.0,92.0,5.02M,0.95%
06/14/2024,93.0,96.0,96.4,92.33,6.71M,-2.82%
06/13/2024,95.7,89.0,95.71,89.0,17.35M,8.44%
06/12/2024,88.25,87.25,89.14,86.15,4.35M,1.96%
06/11/2024,86.55,91.29,91.3,86.1,9.96M,-2.31%
06/10/2024,88.6,88.85,90.45,88.34,8.44M,-0.29%
06/07/2024,88.86,84.93,89.1,82.1,8.09M,5.00%
06/06/2024,84.63,85.4,86.75,84.55,3.45M,0.04%
06/05/2024,84.6,86.16,87.49,84.51,6.70M,-1.59%
06/04/2024,85.97,89.35,89.63,85.5,6.41M,-3.13%
06/03/2024,88.75,89.9,90.6,87.61,6.10M,-0.56%
05/31/2024,89.25,87.9,89.9,86.5,6.73M,2.26%
05/30/2024,87.28,84.19,87.28,84.12,5.58M,4.77%
05/29/2024,83.31,84.9,85.79,82.96,4.16M,-2.56%
05/27/2024,85.5,87.5,87.85,85.49,2.03M,-1.74%
05/24/2024,87.01,86.55,88.1,86.25,4.21M,0.76%
05/23/2024,86.35,85.5,86.55,84.52,3.25M,1.23%
05/22/2024,85.3,86.49,87.35,84.75,4.16M,-0.94%
05/21/2024,86.11,87.0,88.5,85.89,4.87M,-1.64%
05/20/2024,87.55,90.39,90.39,85.15,5.84M,-2.61%
05/17/2024,89.9,88.89,91.95,88.5,9.60M,2.16%
05/16/2024,88.0,89.8,89.99,87.61,4.19M,-1.01%
05/15/2024,88.9,90.98,91.3,88.75,7.87M,-1.77%
05/14/2024,90.5,89.88,90.75,87.86,9.99M,0.00%
05/13/2024,90.5,91.9,91.9,89.32,12.81M,-0.98%
05/10/2024,91.4,86.56,91.49,86.56,21.02M,6.46%
05/09/2024,85.85,81.89,86.25,80.8,9.89M,5.60%
05/08/2024,81.3,82.55,83.39,80.7,3.64M,-1.24%
05/07/2024,82.32,83.8,85.3,81.86,10.70M,-1.47%
05/06/2024,83.55,81.8,84.25,81.8,11.95M,3.28%
05/03/2024,80.9,77.9,81.9,77.9,11.16M,4.32%
05/02/2024,77.55,76.19,78.49,75.0,9.11M,2.73%
04/30/2024,75.49,75.11,78.4,75.1,7.40M,-1.45%
04/29/2024,76.6,79.74,81.7,76.3,17.06M,-3.04%
04/26/2024,79.0,77.24,79.15,75.61,5.50M,2.93%
04/25/2024,76.75,78.89,79.9,76.41,5.40M,-2.47%
04/24/2024,78.69,74.02,79.19,74.01,12.20M,5.98%
04/23/2024,74.25,72.1,77.14,71.81,13.68M,3.13%
04/22/2024,72.0,70.0,73.2,69.25,6.66M,3.30%
04/19/2024,69.7,69.0,71.25,68.2,4.15M,-0.37%
04/18/2024,69.96,70.51,71.74,69.42,3.44M,-0.91%
04/17/2024,70.6,69.4,71.0,69.3,2.65M,1.02%
04/16/2024,69.89,72.06,72.35,69.55,3.81M,-2.37%
04/15/2024,71.59,70.0,72.4,69.25,6.83M,1.83%
04/09/2024,70.3,69.31,71.19,69.1,2.81M,1.88%
04/08/2024,69.0,69.19,69.5,68.2,1.02M,0.74%
04/04/2024,68.49,71.03,71.25,68.01,2.39M,-1.47%
04/03/2024,69.51,64.5,69.51,64.5,3.54M,7.52%
04/02/2024,64.65,64.68,65.35,64.0,658.97K,0.47%
04/01/2024,64.35,65.23,66.0,64.0,837.33K,-1.36%
03/29/2024,65.24,66.4,66.6,64.86,747.53K,-1.75%
03/28/2024,66.4,65.39,66.5,65.2,1.26M,2.15%
03/27/2024,65.0,65.0,65.89,64.76,1.32M,0.34%
03/26/2024,64.78,63.9,65.4,63.57,1.30M,1.70%
03/25/2024,63.7,64.49,64.8,63.43,412.27K,-0.72%
03/22/2024,64.16,63.9,64.5,63.01,730.67K,1.21%
03/21/2024,63.39,65.06,65.9,63.02,1.33M,-2.48%
03/20/2024,65.0,67.4,67.7,64.66,1.18M,-3.49%
03/19/2024,67.35,68.0,68.4,66.75,1.85M,-2.38%
03/18/2024,68.99,68.68,68.99,67.2,723.64K,0.58%
03/15/2024,68.59,69.99,70.0,68.26,901.13K,-0.95%
03/14/2024,69.25,66.85,69.45,66.5,1.09M,4.14%
03/13/2024,66.5,68.1,69.0,65.12,1.76M,-2.21%
03/12/2024,68.0,71.0,71.3,67.9,1.86M,-4.02%
03/11/2024,70.85,71.5,72.52,70.8,2.75M,0.07%
03/08/2024,70.8,70.99,71.7,70.25,3.19M,1.03%
03/07/2024,70.08,69.33,70.79,69.3,2.91M,0.83%
03/06/2024,69.5,70.29,70.76,69.2,1.40M,-0.71%
03/05/2024,70.0,69.24,70.9,68.75,3.15M,1.11%
03/04/2024,69.23,70.9,71.0,68.51,2.61M,0.12%
03/01/2024,69.15,69.85,70.48,68.51,1.68M,-0.07%
02/29/2024,69.2,71.51,73.47,69.1,5.13M,-3.49%
02/28/2024,71.7,68.05,71.78,68.0,5.22M,5.05%
02/27/2024,68.25,66.99,69.44,65.75,6.28M,0.89%
02/26/2024,67.65,68.02,69.5,67.0,2.48M,-1.26%
02/23/2024,68.51,67.48,68.62,67.01,2.02M,1.77%
02/22/2024,67.32,69.48,69.48,67.01,1.57M,-1.79%
02/21/2024,68.55,67.1,69.1,66.83,2.89M,4.01%
02/20/2024,65.91,64.95,66.0,64.45,1.42M,1.79%
02/19/2024,64.75,63.49,65.75,63.49,1.83M,1.17%
02/16/2024,64.0,63.99,64.95,61.8,3.28M,-1.01%
02/15/2024,64.65,66.4,66.48,63.51,2.24M,-2.42%
02/14/2024,66.25,68.48,69.5,65.35,4.78M,-1.12%
02/13/2024,67.0,66.02,68.39,63.2,4.01M,-0.15%
02/12/2024,67.1,70.0,70.83,65.42,4.69M,-5.37%
02/09/2024,70.91,71.7,71.7,68.98,3.48M,-4.50%
02/07/2024,74.25,74.19,74.9,72.85,3.45M,0.35%
02/06/2024,73.99,71.77,74.9,71.77,1.08M,2.28%
02/02/2024,72.34,70.88,72.65,70.45,556.54K,2.90%
02/01/2024,70.3,71.89,71.93,70.05,385.84K,-1.19%
01/31/2024,71.15,71.45,72.3,70.51,1.32M,0.65%
01/30/2024,70.69,73.3,73.85,69.6,3.35M,-4.11%
01/29/2024,73.72,75.3,75.73,73.31,1.07M,-1.97%
01/26/2024,75.2,76.0,77.0,74.9,1.48M,-1.05%
01/25/2024,76.0,76.2,78.0,75.53,3.19M,1.00%
01/24/2024,75.25,74.52,76.45,74.07,6.20M,1.96%
01/23/2024,73.8,71.99,74.44,71.5,1.47M,2.12%
01/22/2024,72.27,73.0,73.0,71.21,1.16M,-0.59%
01/19/2024,72.7,72.0,73.48,71.81,1.42M,1.66%
01/18/2024,71.51,73.15,73.15,70.51,3.97M,-1.77%
01/17/2024,72.8,75.0,75.9,72.06,2.50M,-1.23%
01/16/2024,73.71,74.0,75.1,72.0,2.63M,-0.53%
01/15/2024,74.1,77.05,77.7,73.5,2.95M,-3.88%
