Date,Price,Open,High,Low,Vol.,Change %
01/03/2025,239.45,221.0,240.64,221.0,5.64M,9.46%
01/02/2025,218.76,207.01,220.0,207.01,4.96M,5.92%
01/01/2025,206.53,204.0,209.5,202.89,1.34M,1.15%
12/31/2024,204.19,206.9,207.99,203.4,678.37K,-0.90%
12/30/2024,206.05,200.0,206.9,200.0,1.94M,2.85%
12/27/2024,200.34,200.0,201.0,198.0,516.94K,0.53%
12/26/2024,199.29,201.46,202.0,197.01,1.69M,-1.08%
12/24/2024,201.46,205.0,205.0,200.8,1.03M,-0.15%
12/23/2024,201.77,200.0,204.0,197.01,1.22M,3.79%
12/20/2024,194.4,193.0,196.0,189.55,1.82M,0.78%
12/19/2024,192.9,196.0,201.0,191.51,1.77M,-2.03%
12/18/2024,196.9,203.0,206.2,195.5,1.61M,-3.22%
12/17/2024,203.45,205.01,207.99,202.5,1.76M,-0.52%
12/16/2024,204.51,204.0,207.0,201.5,3.42M,-0.06%
12/13/2024,204.64,210.5,210.79,201.12,2.54M,-2.27%
12/12/2024,209.4,204.0,212.0,203.0,4.54M,3.21%
12/11/2024,202.88,203.75,206.0,202.01,919.25K,-0.42%
12/10/2024,203.74,210.0,211.0,200.0,2.00M,-3.01%
12/09/2024,210.07,208.95,211.98,204.0,1.24M,0.54%
12/06/2024,208.95,210.88,211.46,208.1,942.62K,-0.63%
12/05/2024,210.28,206.65,211.5,204.51,3.38M,2.48%
12/04/2024,205.19,204.76,206.0,202.52,1.31M,-0.16%
12/03/2024,205.52,202.0,207.0,199.45,2.71M,1.94%
12/02/2024,201.61,200.45,202.0,200.45,818.29K,0.70%
11/29/2024,200.21,201.13,202.0,198.1,3.91M,-0.44%
11/28/2024,201.09,203.6,205.01,200.03,975.57K,-1.21%
11/27/2024,203.55,198.8,205.0,195.31,2.12M,4.97%
11/26/2024,193.92,198.0,199.99,191.0,2.16M,-2.30%
11/25/2024,198.49,203.0,204.0,198.0,2.11M,-2.80%
11/22/2024,204.2,213.0,213.0,203.51,1.95M,-2.18%
11/21/2024,208.75,198.26,213.99,197.96,6.78M,5.29%
11/20/2024,198.26,199.85,200.0,198.0,764.42K,-0.67%
11/19/2024,199.6,198.05,199.74,197.5,2.19M,1.15%
11/18/2024,197.34,200.82,201.0,196.95,564.67K,-1.40%
11/15/2024,200.14,199.6,200.97,199.4,840.97K,0.27%
11/14/2024,199.6,199.02,199.97,199.02,358.34K,0.00%
11/13/2024,199.6,199.0,200.15,198.26,917.86K,0.15%
11/12/2024,199.3,200.0,200.5,198.4,938.26K,-0.19%
11/11/2024,199.68,200.74,200.78,198.3,1.28M,0.05%
11/08/2024,199.59,199.9,201.1,198.01,2.72M,0.73%
11/07/2024,198.15,195.55,199.05,194.61,2.12M,1.65%
11/06/2024,194.94,196.0,198.4,194.0,1.61M,-0.38%
11/05/2024,195.68,196.0,197.9,194.85,1.61M,-0.06%
11/04/2024,195.8,196.75,196.98,192.92,899.49K,0.77%
11/01/2024,194.3,193.99,196.0,190.05,757.81K,0.21%
10/31/2024,193.89,198.74,199.9,192.51,731.35K,-2.44%
10/30/2024,198.74,197.99,202.0,196.0,1.73M,0.62%
10/29/2024,197.52,201.99,204.7,191.99,1.63M,-2.31%
10/28/2024,202.19,209.0,212.0,201.56,907.00K,-1.84%
