Date,Price,Open,High,Low,Vol.,Change %
12/13/2024,47.21,47.75,48.4,46.83,3.05M,-1.85%
12/12/2024,48.1,48.89,48.89,47.85,2.82M,-0.70%
12/11/2024,48.44,48.5,48.8,48.05,1.68M,0.64%
12/10/2024,48.13,49.1,49.8,47.8,3.44M,-1.68%
12/09/2024,48.95,49.5,49.5,45.0,6.49M,-1.09%
12/06/2024,49.49,49.4,50.72,49.01,2.90M,0.61%
12/05/2024,49.19,47.8,49.7,47.7,6.56M,3.28%
12/04/2024,47.63,47.8,48.0,47.2,2.04M,0.00%
12/03/2024,47.63,48.3,48.5,47.45,3.12M,-1.22%
12/02/2024,48.22,47.59,48.82,47.0,5.13M,1.45%
11/29/2024,47.53,47.0,47.7,46.7,3.37M,1.34%
11/28/2024,46.9,45.79,47.3,45.4,8.81M,3.65%
11/27/2024,45.25,44.55,47.1,44.0,19.32M,-4.31%
11/26/2024,47.29,52.54,56.5,47.29,24.44M,-9.99%
11/25/2024,52.54,52.13,54.1,52.0,5.00M,0.79%
11/22/2024,52.13,48.71,53.44,48.71,13.49M,7.29%
11/21/2024,48.59,48.0,48.75,47.31,1.03M,0.73%
11/20/2024,48.24,49.3,49.3,48.0,1.09M,-1.49%
11/19/2024,48.97,49.0,49.79,48.56,3.00M,0.37%
11/18/2024,48.79,48.91,49.4,48.53,1.22M,0.56%
11/15/2024,48.52,48.75,49.45,48.38,3.20M,0.87%
11/14/2024,48.1,46.5,48.68,46.47,2.85M,3.51%
11/13/2024,46.47,46.65,46.9,46.35,893.51K,-0.26%
11/12/2024,46.59,46.92,46.92,46.2,847.12K,0.15%
11/11/2024,46.52,48.2,48.4,46.15,4.50M,-2.96%
11/08/2024,47.94,48.23,48.23,47.5,928.87K,-0.02%
11/07/2024,47.95,48.0,48.2,47.8,328.41K,0.33%
11/06/2024,47.79,48.0,48.25,47.45,2.54M,0.46%
11/05/2024,47.57,48.5,48.7,47.11,1.97M,-2.14%
11/04/2024,48.61,49.48,49.73,48.0,2.75M,-2.78%
11/01/2024,50.0,51.3,51.3,49.91,2.86M,-1.42%
10/31/2024,50.72,51.56,52.05,50.51,836.98K,-1.63%
10/30/2024,51.56,51.46,52.5,50.0,1.72M,0.72%
10/29/2024,51.19,50.0,51.45,49.85,1.69M,2.38%
10/28/2024,50.0,50.4,50.84,49.8,1.38M,-1.54%
10/25/2024,50.78,51.0,51.8,50.2,2.81M,-0.98%
10/24/2024,51.28,52.25,53.5,50.1,6.41M,-1.95%
10/23/2024,52.3,52.48,52.48,51.9,914.86K,0.38%
10/22/2024,52.1,52.49,52.7,51.81,1.41M,0.29%
10/21/2024,51.95,50.61,52.85,50.61,3.55M,2.67%
10/18/2024,50.6,50.54,51.4,50.0,580.06K,0.20%
10/17/2024,50.5,51.9,52.1,50.5,1.09M,-2.51%
10/16/2024,51.8,52.31,52.95,51.76,2.07M,-0.19%
10/15/2024,51.9,50.85,52.4,50.83,3.77M,2.37%
10/14/2024,50.7,50.24,51.5,50.0,2.18M,1.36%
10/11/2024,50.02,50.0,50.37,48.5,1.09M,0.04%
10/10/2024,50.0,50.1,51.2,49.71,3.02M,0.40%
10/09/2024,49.8,48.06,50.77,48.06,5.35M,3.53%
10/08/2024,48.1,46.8,48.15,46.5,1.36M,3.00%
