Date,Price,Open,High,Low,Vol.,Change %
12/20/2024,88.94,80.51,90.44,80.51,7.65M,8.07%
12/19/2024,82.3,86.4,91.99,80.0,5.51M,-4.78%
12/18/2024,86.43,91.5,94.54,83.11,1.90M,-5.63%
12/17/2024,91.59,95.5,97.75,90.0,2.89M,-4.85%
12/16/2024,96.26,95.44,100.95,94.0,3.62M,3.05%
12/13/2024,93.41,92.0,95.5,91.6,5.94M,3.89%
12/12/2024,89.91,81.2,90.22,81.2,6.70M,9.62%
12/11/2024,82.02,82.5,83.9,81.11,1.55M,0.16%
12/10/2024,81.89,80.8,85.0,79.27,6.43M,2.04%
12/09/2024,80.25,81.8,82.75,79.05,1.92M,-1.45%
12/06/2024,81.43,81.86,82.74,81.0,1.65M,-0.53%
12/05/2024,81.86,79.95,83.5,79.25,5.31M,3.99%
12/04/2024,78.72,78.85,80.0,78.01,814.53K,0.18%
12/03/2024,78.58,77.55,80.2,77.0,2.26M,1.47%
12/02/2024,77.44,76.21,78.25,76.1,2.17M,1.61%
11/29/2024,76.21,76.0,77.48,74.2,1.40M,0.81%
11/28/2024,75.6,77.9,78.78,74.15,2.99M,-0.15%
11/27/2024,75.71,73.4,75.75,71.03,3.42M,9.95%
11/26/2024,68.86,72.49,73.49,68.02,2.97M,-5.50%
11/25/2024,72.87,75.0,75.8,72.3,2.35M,-2.10%
11/22/2024,74.43,78.1,79.98,74.03,6.19M,-1.38%
11/21/2024,75.47,69.0,75.47,68.5,9.03M,10.00%
11/20/2024,68.61,66.2,69.24,66.2,4.11M,3.13%
11/19/2024,66.53,66.15,66.95,66.15,1.72M,0.65%
11/18/2024,66.1,64.47,66.66,63.95,3.61M,2.67%
11/15/2024,64.38,63.4,65.29,63.4,1.15M,0.55%
11/14/2024,64.03,64.55,65.4,63.0,725.28K,-1.19%
11/13/2024,64.8,65.01,65.48,64.63,759.29K,-0.95%
11/12/2024,65.42,64.51,66.11,64.51,1.13M,0.02%
11/11/2024,65.41,66.8,66.8,64.59,1.24M,-1.22%
11/08/2024,66.22,66.28,66.77,64.5,1.50M,0.50%
11/07/2024,65.89,66.5,66.8,65.5,1.74M,-0.32%
11/06/2024,66.1,66.1,67.7,65.88,1.74M,-1.37%
11/05/2024,67.02,66.3,67.5,65.52,3.05M,0.72%
11/04/2024,66.54,66.45,67.2,65.9,2.11M,0.42%
11/01/2024,66.26,65.55,66.74,65.25,1.14M,1.11%
10/31/2024,65.53,67.24,67.24,65.1,1.28M,-1.15%
10/30/2024,66.29,67.84,68.4,65.52,4.81M,-0.85%
10/29/2024,66.86,64.5,68.2,64.4,7.81M,4.03%
10/28/2024,64.27,65.02,65.6,60.6,7.15M,-0.91%
10/25/2024,64.86,62.1,65.4,61.8,9.02M,5.12%
10/24/2024,61.7,58.24,63.53,57.96,12.81M,7.29%
10/23/2024,57.51,55.95,60.25,55.4,8.76M,3.06%
10/22/2024,55.8,57.4,57.4,55.7,612.58K,-2.11%
10/21/2024,57.0,56.5,57.15,56.01,980.68K,1.60%
