Date,Price,Open,High,Low,Vol.,Change %
12/13/2024,289.69,285.9,292.8,273.0,3.23M,1.21%
12/12/2024,286.24,290.0,291.0,283.05,1.47M,0.58%
12/11/2024,284.58,289.0,289.74,281.61,1.51M,0.71%
12/10/2024,282.56,303.0,306.5,273.0,5.56M,-6.62%
12/09/2024,302.59,281.99,306.5,275.21,7.54M,7.61%
12/06/2024,281.2,280.0,289.9,274.01,4.37M,1.23%
12/05/2024,277.78,275.0,282.0,272.11,2.75M,2.57%
12/04/2024,270.81,258.0,273.44,255.11,3.23M,5.69%
12/03/2024,256.22,252.01,259.9,246.8,1.93M,2.35%
12/02/2024,250.33,244.25,252.5,244.25,1.41M,2.70%
11/29/2024,243.74,247.12,249.0,241.5,903.91K,-1.36%
11/28/2024,247.11,247.93,250.78,244.0,1.14M,0.07%
11/27/2024,246.93,236.0,248.0,234.45,1.60M,9.05%
11/26/2024,226.44,247.0,250.89,225.5,1.58M,-9.48%
11/25/2024,250.16,255.99,256.0,245.5,1.12M,-0.47%
11/22/2024,251.35,270.0,270.25,247.9,2.89M,-5.53%
11/21/2024,266.07,267.25,273.89,263.26,3.18M,0.73%
11/20/2024,264.14,255.98,268.27,254.35,5.67M,3.96%
11/19/2024,254.07,256.0,259.33,252.6,1.60M,-0.04%
11/18/2024,254.16,257.16,259.5,253.0,930.38K,-0.43%
11/15/2024,255.26,256.0,259.77,253.51,1.53M,0.43%
11/14/2024,254.16,253.45,260.0,250.0,2.34M,1.30%
11/13/2024,250.9,254.8,257.75,248.0,2.59M,-1.23%
11/12/2024,254.03,260.0,261.01,252.5,3.65M,1.59%
11/11/2024,250.05,255.9,257.12,248.0,1.47M,-1.68%
11/08/2024,254.32,256.49,260.99,253.0,2.64M,-0.40%
11/07/2024,255.35,249.0,261.75,248.01,3.61M,2.19%
11/06/2024,249.88,250.0,256.12,245.0,3.99M,2.35%
11/05/2024,244.15,241.16,247.0,235.0,5.24M,4.74%
11/04/2024,233.1,224.0,235.5,222.7,3.09M,4.81%
11/01/2024,222.4,219.01,225.45,217.0,850.48K,1.26%
10/31/2024,219.64,217.05,224.74,216.5,1.83M,0.61%
10/30/2024,218.31,228.0,229.01,215.3,1.38M,-2.99%
10/29/2024,225.05,231.01,233.5,222.0,1.47M,-2.28%
10/28/2024,230.31,232.0,241.0,228.9,1.77M,-1.37%
10/25/2024,233.51,239.35,245.45,227.0,3.32M,-1.31%
10/24/2024,236.6,228.0,242.48,227.0,5.48M,5.18%
10/23/2024,224.95,209.0,226.6,203.5,6.66M,7.63%
10/22/2024,209.0,195.0,213.88,195.0,5.76M,7.67%
10/21/2024,194.11,191.01,196.89,191.0,1.49M,2.34%
10/18/2024,189.68,192.0,197.0,187.0,1.27M,-1.16%
10/17/2024,191.9,195.0,202.69,190.0,2.48M,-1.33%
10/16/2024,194.48,190.0,202.75,188.12,4.32M,5.51%
10/15/2024,184.32,170.0,184.32,168.15,2.75M,9.78%
10/14/2024,167.9,173.0,176.0,163.1,3.28M,-1.93%
10/11/2024,171.2,192.0,193.9,171.06,2.28M,-10.37%
10/10/2024,191.0,202.01,202.01,187.1,823.03K,-5.02%
10/09/2024,201.09,205.52,208.31,200.61,1.12M,-2.38%
10/08/2024,206.0,193.5,208.95,192.6,4.11M,6.72%
10/07/2024,193.02,197.0,199.6,192.7,1.12M,-2.02%
10/04/2024,197.0,202.0,204.01,191.75,3.24M,-2.91%
10/03/2024,202.9,211.5,215.5,202.0,1.03M,-3.50%
10/02/2024,210.26,215.0,220.0,208.06,817.44K,-3.55%
10/01/2024,218.0,219.81,223.9,216.15,1.11M,0.05%
09/30/2024,217.9,227.65,228.9,216.0,1.18M,-4.43%
09/27/2024,228.01,212.5,235.0,212.5,3.18M,4.72%
09/26/2024,217.74,236.89,236.89,216.25,1.48M,-6.59%
09/25/2024,233.11,226.01,240.0,226.01,1.52M,2.47%
09/24/2024,227.5,230.0,231.64,217.15,736.76K,-1.08%
09/23/2024,229.99,231.0,238.0,229.0,853.22K,-0.35%
09/20/2024,230.8,233.0,237.49,224.1,1.70M,-1.24%
09/19/2024,233.7,245.5,247.95,232.5,1.06M,-4.60%
09/18/2024,244.98,245.2,249.0,238.0,1.23M,0.41%
09/16/2024,243.98,250.6,251.79,242.01,484.63K,-2.33%
09/13/2024,249.8,262.0,265.49,245.6,1.66M,-2.80%
09/12/2024,257.0,257.0,258.99,252.0,786.32K,0.39%
09/11/2024,255.99,254.01,261.6,254.01,1.52M,0.40%
09/10/2024,254.98,247.0,254.99,243.98,972.27K,2.40%
09/09/2024,249.0,260.0,260.0,246.21,779.82K,-2.74%
09/06/2024,256.01,263.0,265.0,255.26,908.50K,-2.84%
09/05/2024,263.5,268.0,269.44,254.01,1.24M,-1.93%
09/04/2024,268.69,261.0,269.35,259.25,1.36M,3.84%
09/03/2024,258.75,246.0,259.0,244.11,1.23M,3.54%
09/02/2024,249.9,274.99,280.0,246.9,2.20M,-9.75%
08/30/2024,276.89,265.0,287.65,262.62,4.89M,4.88%
08/29/2024,264.0,251.0,267.9,245.0,3.04M,6.24%
08/28/2024,248.5,262.95,263.89,247.0,1.23M,-4.57%
08/27/2024,260.4,243.89,268.72,238.02,4.88M,7.47%
08/26/2024,242.3,263.01,263.04,238.75,4.14M,-8.22%
08/23/2024,263.99,267.1,271.0,262.0,846.42K,-1.09%
08/22/2024,266.9,270.0,272.16,264.0,961.78K,-0.41%
08/21/2024,267.99,265.0,273.95,260.15,2.15M,0.79%
08/20/2024,265.9,275.0,279.0,265.01,2.13M,-1.70%
08/19/2024,270.5,280.05,282.0,260.0,5.27M,-5.75%
08/16/2024,287.01,319.95,320.98,287.01,3.93M,-9.17%
08/15/2024,315.99,338.9,338.9,310.1,5.02M,-5.65%
08/13/2024,334.9,322.0,342.4,322.0,4.30M,2.11%
08/12/2024,327.99,359.0,359.0,321.2,4.14M,-7.16%
08/09/2024,353.3,359.77,362.0,350.1,2.02M,-0.89%
08/08/2024,356.49,360.0,366.0,352.0,4.05M,-1.62%
08/07/2024,362.35,354.89,369.69,352.99,5.65M,1.78%
08/06/2024,356.0,340.11,360.0,330.3,5.75M,7.55%
08/05/2024,331.0,337.0,346.0,326.0,6.60M,-2.10%
08/02/2024,338.1,319.98,340.44,318.26,8.97M,6.20%
08/01/2024,318.36,295.0,318.36,284.56,5.98M,9.03%
07/31/2024,292.0,304.0,314.9,283.6,4.85M,-4.89%
07/30/2024,307.0,315.02,327.5,299.0,6.25M,2.77%
07/29/2024,298.72,280.0,298.72,280.0,2.22M,9.54%
07/26/2024,272.7,275.99,278.79,269.0,2.90M,0.63%
07/25/2024,270.99,265.52,278.95,254.01,4.88M,1.57%
07/24/2024,266.8,265.5,279.25,260.55,5.28M,2.91%
07/23/2024,259.26,241.52,259.26,241.25,5.28M,9.62%
07/22/2024,236.5,232.0,244.0,225.56,3.67M,0.77%
07/19/2024,234.7,260.5,267.0,234.7,3.11M,-9.59%
07/18/2024,259.6,251.99,269.69,246.0,4.03M,5.12%
07/15/2024,246.95,239.99,252.33,238.02,4.82M,5.62%
07/12/2024,233.82,218.9,233.82,204.0,8.78M,9.50%
07/11/2024,213.53,195.95,213.53,193.0,4.76M,9.22%
07/10/2024,195.5,187.0,198.45,184.02,5.53M,5.79%
07/09/2024,184.8,179.45,191.1,177.1,4.86M,3.76%
07/08/2024,178.1,175.99,181.47,175.78,1.57M,1.78%
07/05/2024,174.98,175.79,176.8,172.0,842.08K,0.10%
07/04/2024,174.8,174.99,178.0,174.01,1.07M,0.47%
07/03/2024,173.98,172.25,175.6,170.01,968.73K,0.92%
07/02/2024,172.4,175.0,177.0,170.0,646.96K,-0.92%
07/01/2024,174.0,175.4,176.0,173.9,329.89K,-0.46%
06/28/2024,174.8,176.48,180.2,174.03,801.74K,-0.68%
06/27/2024,176.0,177.2,177.88,174.0,473.74K,0.00%
06/26/2024,176.0,178.9,182.95,175.02,1.35M,-0.73%
06/25/2024,177.3,181.5,182.0,177.3,674.31K,-1.50%
06/24/2024,180.0,181.0,183.9,176.2,1.73M,1.18%
06/21/2024,177.9,178.8,181.9,173.5,1.39M,0.23%
06/20/2024,177.5,177.2,182.5,176.1,843.36K,0.85%
06/14/2024,176.0,188.25,189.99,173.16,2.53M,-6.39%
06/13/2024,188.01,175.2,188.01,175.2,3.18M,7.74%
06/12/2024,174.5,170.15,177.2,167.11,1.19M,2.33%
06/11/2024,170.52,181.75,183.21,170.0,1.60M,-4.23%
06/10/2024,178.05,179.0,183.26,174.0,772.36K,-0.53%
06/07/2024,178.99,173.01,184.0,163.0,2.03M,3.46%
06/06/2024,173.0,184.9,187.99,172.0,1.30M,-6.23%
06/05/2024,184.49,194.02,196.73,182.01,3.75M,-2.72%
06/04/2024,189.65,182.89,194.86,182.89,6.17M,5.07%
06/03/2024,180.5,185.2,185.59,179.8,1.40M,-1.37%
05/31/2024,183.0,179.99,186.8,179.45,2.21M,2.23%
05/30/2024,179.0,179.2,183.0,176.7,970.88K,-0.83%
05/29/2024,180.5,185.0,187.48,177.0,1.57M,-1.53%
05/27/2024,183.3,185.99,190.0,181.2,2.49M,-0.82%
05/24/2024,184.82,172.4,184.82,172.2,3.51M,7.45%
05/23/2024,172.0,175.0,177.2,168.51,2.53M,-4.28%
05/22/2024,179.7,193.96,194.0,179.7,1.79M,-6.70%
05/21/2024,192.6,201.1,202.8,190.25,3.21M,-2.97%
