Date,Price,Open,High,Low,Vol.,Change %
10/29/2024,103.05,103.41,104.0,103.05,178.87K,-0.24%
10/28/2024,103.3,105.5,107.3,102.99,7.52M,-1.25%
10/25/2024,104.61,109.0,109.2,104.01,11.18M,-3.90%
10/24/2024,108.86,107.1,109.88,106.5,11.40M,2.05%
10/23/2024,106.67,105.99,107.74,105.56,11.58M,1.24%
10/22/2024,105.36,104.11,106.77,104.11,12.21M,1.59%
10/21/2024,103.71,102.8,105.0,99.75,15.29M,1.34%
10/18/2024,102.34,100.0,103.78,98.02,19.74M,5.12%
10/17/2024,97.36,102.0,102.5,96.11,11.40M,-4.30%
10/16/2024,101.73,98.75,102.9,98.0,24.35M,2.93%
10/15/2024,98.83,97.75,99.36,93.0,33.28M,1.89%
10/14/2024,97.0,107.26,107.26,96.26,37.18M,-10.10%
10/11/2024,107.9,110.0,110.57,101.46,58.16M,-4.09%
10/10/2024,112.5,111.99,119.4,111.2,46.57M,-1.06%
10/09/2024,113.7,111.9,117.89,109.1,39.67M,2.43%
10/08/2024,111.0,116.0,117.0,109.8,45.85M,-8.89%
10/07/2024,121.83,125.8,125.8,116.25,28.08M,-2.92%
10/04/2024,125.5,123.8,126.0,121.75,11.10M,1.45%
10/03/2024,123.71,123.99,126.5,122.78,5.28M,-0.15%
10/02/2024,123.89,126.98,128.8,123.25,9.44M,-3.09%
10/01/2024,127.84,121.4,128.0,120.05,19.62M,7.34%
09/30/2024,119.1,123.99,123.99,118.11,20.48M,-4.11%
