Date,Price,Open,High,Low,Vol.,Change %
12/01/2024,108.7,109.7,110.71,108.42,7.27M,-0.69%
11/30/2024,109.45,110.5,111.49,109,5.79M,-0.82%
11/29/2024,110.36,108,110.87,108,14.13M,5.61%
11/28/2024,104.5,110.74,111.95,103,17.27M,-5.63%
11/27/2024,110.74,109.58,110.98,109,13.31M,1.06%
11/26/2024,110.74,109.58,110.98,109,13.31M,1.06%
11/25/2024,110.74,109.58,110.98,109,13.31M,1.06%
11/22/2024,109.58,111,111.14,109.03,5.50M,-0.88%
11/21/2024,110.55,111.69,111.69,110.02,3.74M,-1.08%
11/20/2024,111.76,110.66,112.88,108.66,13.92M,1.07%
11/19/2024,110.58,111.88,111.88,110.35,2.45M,-0.48%
11/18/2024,111.11,112.5,112.78,110.7,3.37M,-1.20%
11/15/2024,112.46,110.81,113.88,110.7,11.73M,1.53%
11/14/2024,110.77,110.05,111,110,3.78M,1.10%
11/13/2024,109.57,111.88,111.88,109.01,4.95M,-0.83%
11/12/2024,110.49,110.07,111.94,109.75,4.97M,-0.13%
11/11/2024,110.63,113.5,113.7,109.7,9.39M,-2.49%
11/08/2024,113.45,111.51,114,110.7,15.63M,2.56%
11/07/2024,110.62,109,111.34,108.56,13.99M,1.96%
11/06/2024,108.49,109,110.4,107.9,10.01M,-0.07%
11/05/2024,108.57,107.6,110.48,107.56,19.20M,1.89%
11/04/2024,106.56,104.5,107.4,104.04,11.06M,2.61%
11/01/2024,103.85,104.79,104.9,103.03,6.08M,0.31%
