Date,Price,Open,High,Low,Vol.,Change %
12/20/2024,7.0,6.5,7.1,6.2,11.50M,7.36%
12/19/2024,6.52,7.25,7.59,6.27,10.18M,-10.32%
12/18/2024,7.27,7.81,7.84,6.99,14.81M,-7.51%
12/17/2024,7.86,7.95,8.1,7.75,9.02M,-1.63%
12/16/2024,7.99,8.25,8.25,7.95,6.22M,-1.60%
12/13/2024,8.12,8.4,8.49,7.95,8.03M,-3.33%
12/12/2024,8.4,8.12,8.79,8.1,24.47M,4.09%
12/11/2024,8.07,8.2,8.27,8.01,5.66M,0.12%
12/10/2024,8.06,8.3,8.48,7.92,9.42M,-2.42%
12/09/2024,8.26,8.55,8.56,8.17,14.89M,-2.71%
12/06/2024,8.49,8.2,8.65,7.96,21.19M,4.56%
12/05/2024,8.12,8.28,8.53,8.07,14.84M,-1.34%
12/04/2024,8.23,8.44,8.49,8.16,9.90M,-2.83%
12/03/2024,8.47,8.26,8.61,8.11,18.77M,3.29%
12/02/2024,8.2,8.12,8.3,8.0,10.76M,3.02%
11/29/2024,7.96,7.75,8.2,7.75,21.62M,2.71%
11/28/2024,7.75,7.79,7.95,7.6,7.65M,1.04%
11/27/2024,7.67,7.55,7.82,7.4,15.28M,6.97%
11/26/2024,7.17,7.62,7.75,7.11,10.20M,-5.78%
11/25/2024,7.61,7.69,7.86,7.3,8.80M,-1.42%
11/22/2024,7.72,8.41,8.58,7.62,19.63M,-8.10%
11/21/2024,8.4,9.08,9.25,8.2,48.26M,-6.46%
11/20/2024,8.98,8.27,9.1,8.06,63.00M,10.73%
11/19/2024,8.11,7.7,8.28,7.51,40.65M,5.87%
11/18/2024,7.66,7.36,7.8,7.34,10.40M,4.08%
11/15/2024,7.36,7.45,7.55,7.26,4.85M,-1.21%
11/14/2024,7.45,7.5,7.75,7.36,10.55M,-0.13%
11/13/2024,7.46,7.12,7.72,7.1,18.21M,4.78%
11/12/2024,7.12,7.22,7.5,7.08,11.82M,-4.17%
11/11/2024,7.43,7.69,7.78,7.38,8.85M,-2.37%
11/08/2024,7.61,8.0,8.18,7.55,30.36M,-2.81%
11/07/2024,7.83,7.38,8.06,7.35,46.53M,7.41%
11/06/2024,7.29,6.96,7.5,6.96,15.60M,4.89%
11/05/2024,6.95,6.9,7.16,6.75,10.55M,2.21%
11/04/2024,6.8,6.85,7.08,6.52,14.67M,-0.73%
11/01/2024,6.85,7.03,7.2,6.72,9.07M,-2.56%
10/31/2024,7.03,7.2,7.29,6.95,9.71M,-1.68%
10/30/2024,7.15,7.5,7.74,7.05,12.90M,-6.17%
10/29/2024,7.62,7.86,8.08,7.55,10.59M,-3.05%
10/28/2024,7.86,7.69,8.2,7.6,21.27M,2.75%
10/25/2024,7.65,7.74,8.02,7.5,14.26M,-1.16%
10/24/2024,7.74,7.99,8.23,7.48,21.38M,-3.01%
10/23/2024,7.98,8.3,8.34,7.92,12.01M,-3.04%
