Date,Price,Open,High,Low,Vol.,Change %
01/10/2025,226.45,212.4,230.0,209.09,10.28M,6.31%
01/09/2025,213.01,213.5,216.9,208.11,5.56M,0.03%
01/08/2025,212.95,220.0,223.0,211.5,4.03M,-2.49%
01/07/2025,218.38,213.56,219.49,205.8,6.98M,2.26%
01/06/2025,213.56,223.99,224.89,210.1,6.18M,-3.84%
01/03/2025,222.08,224.25,224.25,218.01,3.51M,-1.07%
01/02/2025,224.49,229.15,231.25,222.1,5.67M,-1.75%
01/01/2025,228.5,225.6,230.0,223.01,5.27M,0.88%
12/31/2024,226.51,234.99,234.99,226.02,8.60M,0.63%
12/30/2024,225.1,223.45,227.2,222.3,5.80M,1.17%
12/27/2024,222.49,218.0,225.4,216.55,5.77M,2.29%
12/26/2024,217.5,232.0,232.0,217.5,9.13M,-5.43%
12/24/2024,230.0,233.9,255.4,227.0,23.06M,-1.50%
12/23/2024,233.5,216.99,234.0,215.49,14.96M,8.35%
12/20/2024,215.5,210.0,216.49,206.51,6.06M,3.11%
12/19/2024,209.0,221.9,224.0,209.0,14.17M,-5.13%
12/18/2024,220.3,228.0,233.0,217.0,13.98M,-0.77%
12/17/2024,222.0,235.4,235.99,216.75,9.57M,-5.69%
12/16/2024,235.4,225.25,235.5,225.25,12.69M,5.09%
12/13/2024,224.0,214.12,225.0,213.0,17.02M,5.66%
12/12/2024,212.0,206.41,214.99,206.41,20.63M,3.21%
12/11/2024,205.4,194.0,206.9,193.7,17.78M,6.26%
12/10/2024,193.3,198.0,198.4,190.35,5.33M,-2.18%
12/09/2024,197.6,194.86,199.27,193.0,6.76M,1.62%
12/06/2024,194.45,198.2,198.9,194.01,3.28M,-1.55%
12/05/2024,197.52,193.5,198.2,192.3,8.15M,2.29%
12/04/2024,193.1,192.1,193.8,190.5,4.67M,0.31%
12/03/2024,192.5,191.5,193.25,188.7,6.05M,0.00%
12/02/2024,192.5,195.25,202.89,190.2,19.61M,-1.03%
11/29/2024,194.5,194.0,197.75,190.75,7.95M,0.03%
11/28/2024,194.45,188.89,194.85,188.8,11.21M,2.83%
