Date,Price,Open,High,Low,Vol.,Change %
01/17/2025,42.97,42.0,43.11,41.0,10.08M,3.44%
01/16/2025,41.54,42.69,42.85,41.35,5.12M,-2.69%
01/15/2025,42.69,42.8,43.3,42.5,9.19M,-0.26%
01/14/2025,42.8,42.85,43.38,41.9,13.19M,-0.14%
01/13/2025,42.86,41.89,43.49,41.41,15.21M,2.68%
01/10/2025,41.74,40.75,42.35,40.1,18.34M,2.13%
01/09/2025,40.87,41.8,42.69,40.2,23.14M,-0.73%
01/08/2025,41.17,42.24,42.95,40.75,16.68M,-1.27%
01/07/2025,41.7,41.25,42.24,38.65,20.37M,-0.17%
01/06/2025,41.77,44.5,44.69,40.4,30.58M,-5.71%
01/03/2025,44.3,43.83,45.2,43.75,32.63M,1.86%
01/02/2025,43.49,43.41,45.65,43.3,34.00M,0.07%
01/01/2025,43.46,43.5,44.7,42.9,25.57M,-0.09%
12/31/2024,43.5,44.99,46.0,43.2,34.23M,-2.42%
12/30/2024,44.58,41.0,44.58,40.6,36.35M,9.83%
12/27/2024,40.59,39.5,41.4,39.0,18.69M,3.52%
12/26/2024,39.21,39.2,39.8,38.0,14.67M,0.03%
12/24/2024,39.2,41.18,41.2,39.02,14.44M,-3.80%
12/23/2024,40.75,40.0,41.7,39.5,38.65M,3.82%
12/20/2024,39.25,37.16,39.3,36.63,23.72M,6.92%
12/19/2024,36.71,38.46,41.15,35.13,57.97M,-4.65%
12/18/2024,38.5,39.4,40.25,37.45,50.14M,-0.13%
12/17/2024,38.55,35.35,38.63,34.0,107.50M,10.46%
12/16/2024,34.9,33.99,35.98,33.65,48.40M,3.75%
12/13/2024,33.64,33.0,34.6,32.32,32.80M,2.25%
12/12/2024,32.9,33.9,34.35,32.55,26.45M,-1.35%
12/11/2024,33.35,32.6,33.94,32.2,18.62M,3.57%
12/10/2024,32.2,35.19,35.24,31.61,36.82M,-7.74%
12/09/2024,34.9,35.1,36.75,34.5,37.15M,1.16%
12/06/2024,34.5,32.49,35.35,32.39,60.24M,7.58%
12/05/2024,32.07,32.49,32.68,31.7,17.21M,-0.40%
12/04/2024,32.2,31.25,33.18,30.5,75.74M,5.64%
12/03/2024,30.48,27.9,30.48,27.17,67.81M,9.84%
12/02/2024,27.75,27.11,28.35,27.1,23.76M,2.32%
11/29/2024,27.12,26.35,27.55,25.9,16.91M,3.51%
11/28/2024,26.2,25.9,26.5,25.35,10.40M,1.87%
11/27/2024,25.72,25.0,25.86,24.8,8.30M,4.94%
11/26/2024,24.51,25.0,25.7,23.7,11.23M,-4.82%
11/25/2024,25.75,25.65,25.85,25.3,9.22M,-0.35%
11/22/2024,25.84,26.66,26.95,25.6,12.60M,-3.22%
11/21/2024,26.7,26.69,27.1,26.46,6.03M,-0.52%
11/20/2024,26.84,27.29,27.8,26.32,13.26M,-1.29%
11/19/2024,27.19,26.6,27.3,26.56,13.38M,2.22%
11/18/2024,26.6,27.05,27.29,26.6,10.18M,-1.04%
11/15/2024,26.88,27.6,27.94,26.72,18.17M,-2.61%
11/14/2024,27.6,27.98,28.25,27.3,11.25M,-0.90%
11/13/2024,27.85,28.2,29.0,27.61,27.00M,-0.18%
11/12/2024,27.9,29.26,29.3,27.66,37.70M,-3.79%
11/11/2024,29.0,27.2,29.35,27.2,78.09M,7.21%
11/08/2024,27.05,25.47,27.1,25.3,44.16M,6.71%
11/07/2024,25.35,25.75,26.13,24.8,16.00M,-1.36%
11/06/2024,25.7,26.26,26.5,25.61,7.74M,-2.13%
11/05/2024,26.26,25.94,26.44,25.35,12.50M,2.18%
11/04/2024,25.7,25.0,25.85,25.0,11.33M,2.80%
11/01/2024,25.0,24.98,25.05,24.51,1.61M,0.81%
10/31/2024,24.8,25.05,25.21,24.4,2.27M,-0.76%
10/30/2024,24.99,25.0,25.5,24.8,4.73M,0.52%
10/29/2024,24.86,24.84,25.27,24.75,1.77M,-0.56%
10/28/2024,25.0,25.1,25.6,24.86,6.19M,-0.28%
10/25/2024,25.07,25.26,25.43,24.81,7.02M,-0.56%
10/24/2024,25.21,25.5,25.63,25.15,3.92M,-0.75%
10/23/2024,25.4,25.3,25.86,25.3,5.87M,0.95%
10/22/2024,25.16,25.15,25.66,25.11,3.64M,0.60%
10/21/2024,25.01,25.0,25.5,24.75,1.87M,0.85%
10/18/2024,24.8,25.14,25.15,24.46,3.61M,-1.20%
10/17/2024,25.1,25.8,26.0,25.0,9.04M,-2.33%
10/16/2024,25.7,25.55,25.92,25.46,2.69M,1.18%
10/15/2024,25.4,25.2,26.14,25.01,7.37M,0.28%
10/14/2024,25.33,25.1,25.34,24.9,969.71K,1.81%
10/11/2024,24.88,25.36,25.7,24.68,2.82M,-1.19%
