Date,Price,Open,High,Low,Vol.,Change %
12/11/2024,176.3,174.8,176.85,174.8,801.43K,1.28%
12/10/2024,174.07,178.0,178.8,171.26,5.47M,-1.24%
12/09/2024,176.26,174.57,179.1,172.25,8.31M,0.97%
12/06/2024,174.57,177.51,179.2,173.25,5.48M,-0.53%
12/05/2024,175.5,169.99,177.7,167.25,12.21M,4.85%
12/04/2024,167.38,167.5,169.65,164.52,5.34M,0.49%
12/03/2024,166.56,167.0,168.85,162.9,4.87M,-0.36%
12/02/2024,167.17,169.63,173.9,164.67,11.43M,-0.51%
11/29/2024,168.02,164.25,170.97,161.25,11.60M,2.55%
11/28/2024,163.85,154.99,165.0,154.11,13.30M,7.32%
11/27/2024,152.67,150.01,153.95,149.0,4.31M,6.24%
11/26/2024,143.7,154.0,154.0,141.9,6.98M,-6.73%
11/25/2024,154.07,156.0,156.0,152.5,2.36M,-0.89%
11/22/2024,155.45,158.5,162.39,154.66,6.52M,-1.56%
11/21/2024,157.92,155.9,159.85,154.0,5.52M,1.38%
11/20/2024,155.77,156.0,160.3,154.0,8.03M,-0.03%
11/19/2024,155.82,154.74,157.5,153.8,4.30M,1.32%
11/18/2024,153.79,153.0,155.0,152.5,1.82M,0.73%
11/15/2024,152.68,152.5,155.89,151.03,4.73M,0.10%
11/14/2024,152.53,150.7,154.98,150.5,7.08M,1.65%
11/13/2024,150.06,151.5,152.95,149.15,3.66M,-0.73%
11/12/2024,151.17,154.85,155.0,150.01,4.37M,-1.94%
11/11/2024,154.16,150.9,155.5,150.45,10.24M,2.73%
11/08/2024,150.07,147.25,151.6,145.65,8.61M,1.66%
11/07/2024,147.62,147.25,149.0,145.15,6.54M,1.22%
11/06/2024,145.84,145.98,147.95,144.9,5.91M,-0.85%
11/05/2024,147.09,149.1,149.24,144.3,7.61M,-0.46%
11/04/2024,147.77,153.5,156.49,144.26,21.69M,-2.72%
11/01/2024,151.9,142.25,153.4,140.5,21.65M,7.33%
10/31/2024,141.53,143.0,144.4,140.03,8.65M,-1.03%
10/30/2024,143.0,140.97,146.3,140.8,15.77M,2.68%
10/29/2024,139.27,139.44,141.0,135.75,12.42M,0.55%
10/28/2024,138.51,136.44,144.21,136.22,11.46M,2.03%
10/25/2024,135.75,134.7,143.0,134.39,16.49M,1.53%
10/24/2024,133.7,131.5,136.5,131.5,7.64M,2.06%
10/23/2024,131.0,130.2,131.7,128.12,3.13M,0.50%
10/22/2024,130.35,129.5,131.81,129.5,2.97M,0.77%
10/21/2024,129.36,127.25,130.1,127.25,2.43M,1.06%
10/18/2024,128.0,131.45,131.7,127.5,3.74M,-2.99%
10/17/2024,131.95,134.0,134.5,130.4,3.46M,-1.29%
10/16/2024,133.68,129.0,134.0,129.0,9.58M,1.93%
10/15/2024,131.15,131.0,132.9,129.0,7.29M,0.50%
10/14/2024,130.5,131.5,133.0,129.5,3.41M,-0.15%
10/11/2024,130.7,132.51,136.5,130.49,7.59M,-1.71%
10/10/2024,132.97,126.06,134.65,124.9,23.21M,5.53%
10/09/2024,126.0,128.0,131.32,125.0,10.47M,-1.25%
10/08/2024,127.6,126.7,130.5,126.7,21.54M,0.00%
10/07/2024,127.6,118.43,127.9,117.01,40.78M,7.68%
10/04/2024,118.5,111.0,119.55,111.0,21.64M,6.09%
10/03/2024,111.7,108.9,112.72,108.9,5.75M,2.38%
10/02/2024,109.1,108.49,109.75,107.5,2.28M,0.78%
10/01/2024,108.26,107.0,109.1,106.4,3.13M,1.18%
09/30/2024,107.0,107.7,108.0,106.4,1.37M,-1.15%
09/27/2024,108.24,108.11,109.0,107.05,1.51M,0.42%
09/26/2024,107.79,110.1,110.74,107.41,3.65M,-0.88%
09/25/2024,108.75,108.49,109.61,107.7,3.97M,0.82%
09/24/2024,107.87,110.46,110.59,106.8,4.81M,-1.73%
09/23/2024,109.77,112.9,112.99,109.5,3.33M,-2.44%
09/20/2024,112.52,116.9,117.45,110.15,15.67M,-3.62%
09/19/2024,116.75,114.55,117.0,114.55,4.52M,1.96%
09/18/2024,114.51,114.51,115.01,114.01,1.40M,0.01%
09/16/2024,114.5,114.06,115.3,113.78,892.09K,-0.41%
09/13/2024,114.97,115.98,116.01,114.05,2.87M,1.52%
09/12/2024,113.25,112.94,113.9,112.5,1.36M,0.40%
09/11/2024,112.8,113.05,113.4,112.28,604.73K,0.09%
09/10/2024,112.7,112.74,113.5,111.6,1.36M,0.45%
09/09/2024,112.2,113.5,114.0,112.01,523.39K,-0.22%
09/06/2024,112.45,113.2,113.35,112.01,511.49K,-0.49%
09/05/2024,113.0,113.1,113.63,112.3,1.57M,0.25%
09/04/2024,112.72,112.7,114.25,112.5,3.43M,0.42%
09/03/2024,112.25,111.55,112.55,111.45,872.87K,0.67%
09/02/2024,111.5,111.1,113.25,111.0,2.69M,0.88%
08/30/2024,110.53,112.01,112.3,110.5,2.00M,-1.07%
08/29/2024,111.72,112.47,112.6,111.61,986.71K,-0.07%
