Date,Price,Open,High,Low,Vol.,Change %
12/20/2024,397.05,384.0,405.0,378.21,6.95M,4.30%
12/19/2024,380.69,392.95,403.88,378.0,7.77M,-3.64%
12/18/2024,395.06,380.0,411.96,380.0,13.89M,5.13%
12/17/2024,375.8,388.99,392.0,366.56,8.44M,-2.81%
12/16/2024,386.68,380.0,397.65,374.01,8.97M,6.30%
12/13/2024,363.76,343.0,373.99,332.5,11.18M,6.99%
12/12/2024,339.99,312.1,340.96,311.02,10.55M,9.69%
12/11/2024,309.96,300.0,311.0,298.68,6.45M,3.78%
12/10/2024,298.67,306.49,307.0,288.06,4.99M,-2.18%
12/09/2024,305.34,302.79,308.0,298.01,3.52M,0.84%
12/06/2024,302.79,311.0,312.11,301.75,4.20M,-2.27%
12/05/2024,309.83,310.0,313.85,304.04,6.46M,0.60%
12/04/2024,307.99,308.0,309.9,300.0,6.06M,1.96%
12/03/2024,302.07,293.48,305.87,286.0,9.72M,3.25%
12/02/2024,292.56,293.11,296.4,289.4,4.95M,-0.06%
11/29/2024,292.73,292.89,295.0,284.61,6.55M,0.56%
11/28/2024,291.11,287.0,293.0,282.0,6.10M,1.83%
11/27/2024,285.87,275.0,287.75,270.5,8.98M,9.23%
11/26/2024,261.71,274.9,274.9,260.0,6.24M,-4.43%
11/25/2024,273.85,269.1,275.5,265.1,4.32M,1.72%
11/22/2024,269.21,266.89,275.5,266.0,8.49M,1.18%
11/21/2024,266.08,257.75,267.0,255.0,8.90M,3.59%
11/20/2024,256.86,263.0,265.0,254.02,5.50M,-2.02%
11/19/2024,262.16,256.51,263.3,255.0,5.41M,2.72%
11/18/2024,255.22,257.18,257.18,253.52,1.77M,0.02%
11/15/2024,255.18,248.25,262.4,248.25,11.17M,3.10%
11/14/2024,247.5,247.0,250.9,246.2,2.12M,0.59%
11/13/2024,246.06,246.0,252.5,244.0,6.99M,-0.11%
11/12/2024,246.33,249.34,250.5,243.25,5.02M,-1.24%
11/11/2024,249.42,248.12,252.0,245.0,7.70M,1.05%
11/08/2024,246.82,237.0,248.5,236.19,8.10M,4.79%
11/07/2024,235.54,238.0,239.0,234.5,2.11M,-0.70%
11/06/2024,237.19,240.5,241.95,235.0,2.89M,-0.83%
11/05/2024,239.17,245.0,245.45,235.85,11.85M,-1.04%
11/04/2024,241.68,243.6,249.74,239.0,11.77M,1.97%
11/01/2024,237.02,222.0,242.55,220.6,13.10M,6.87%
10/31/2024,221.79,226.0,229.7,218.79,8.18M,-0.75%
10/30/2024,223.47,231.0,233.0,220.66,4.86M,-3.07%
10/29/2024,230.54,235.98,238.45,229.0,5.39M,-1.47%
10/28/2024,233.97,228.0,239.88,226.05,13.46M,3.64%
10/25/2024,225.76,214.98,225.76,209.0,23.43M,9.06%
10/24/2024,207.0,196.4,207.0,194.1,5.84M,5.68%
10/23/2024,195.88,195.5,198.47,193.1,1.35M,-0.67%
10/22/2024,197.2,199.67,201.4,196.0,1.75M,-1.03%
10/21/2024,199.25,198.0,203.9,196.4,2.95M,1.89%
10/18/2024,195.55,199.0,201.99,195.15,1.77M,-2.95%
10/17/2024,201.5,205.01,207.5,201.0,2.36M,-1.13%
10/16/2024,203.8,193.0,209.95,192.55,7.30M,5.16%
10/15/2024,193.8,197.0,198.0,189.5,2.60M,-5.95%
10/14/2024,206.05,208.8,213.8,205.9,4.82M,-0.22%
10/11/2024,206.5,198.11,211.99,197.8,10.34M,5.34%
10/10/2024,196.04,190.0,197.8,187.01,4.13M,2.91%
10/09/2024,190.5,190.0,198.4,188.66,3.90M,-0.11%
10/08/2024,190.71,187.99,193.5,187.98,3.91M,1.73%
10/07/2024,187.47,176.0,188.0,175.56,6.85M,6.52%
10/04/2024,176.0,169.0,178.0,168.9,4.27M,4.61%
10/03/2024,168.25,165.99,169.49,165.0,1.71M,2.25%
10/02/2024,164.55,161.0,166.0,161.0,1.19M,0.92%
10/01/2024,163.05,161.49,163.5,161.49,1.35M,0.96%
09/30/2024,161.5,161.21,162.45,160.4,442.53K,0.40%
09/27/2024,160.85,163.98,164.0,160.51,1.35M,-1.44%
09/26/2024,163.2,166.4,167.0,163.11,822.24K,-1.62%
09/25/2024,165.89,164.01,166.44,164.0,1.01M,0.78%
09/24/2024,164.6,166.99,166.99,164.0,629.12K,-1.20%
09/23/2024,166.6,167.65,169.39,166.0,610.43K,-0.84%
09/20/2024,168.01,169.0,169.92,166.0,1.96M,-0.59%
09/19/2024,169.0,168.73,170.9,168.07,1.45M,0.30%
09/18/2024,168.5,167.0,168.89,166.5,980.07K,1.21%
09/16/2024,166.49,165.3,168.25,165.3,706.62K,0.48%
09/13/2024,165.7,166.5,169.3,164.5,1.19M,1.98%
09/12/2024,162.49,161.75,164.05,160.7,608.09K,0.93%
09/11/2024,161.0,162.17,162.17,160.0,545.38K,-0.62%
09/10/2024,162.01,161.66,162.75,160.11,286.22K,0.56%
09/09/2024,161.1,163.5,163.5,160.81,221.17K,-1.17%
09/06/2024,163.0,162.95,163.5,162.4,203.59K,0.31%
09/05/2024,162.5,163.99,164.25,162.0,432.47K,-0.61%
09/04/2024,163.5,162.89,164.05,162.5,480.57K,0.49%
09/03/2024,162.7,161.49,163.59,160.7,559.21K,1.05%
09/02/2024,161.01,160.99,161.99,160.4,240.19K,-0.20%
08/30/2024,161.34,162.0,162.25,160.45,458.88K,-0.25%
08/29/2024,161.75,160.99,162.0,160.51,475.68K,0.59%
08/28/2024,160.8,161.48,162.5,160.11,603.17K,-0.25%
08/27/2024,161.2,159.0,165.5,159.0,4.45M,1.38%
08/26/2024,159.0,160.66,160.66,158.0,294.28K,-0.16%
08/23/2024,159.25,160.01,161.6,159.0,839.55K,-0.34%
