Date,Price,Open,High,Low,Vol.,Change %
01/17/2025,106.41,103.25,107.2,102.0,14.31M,6.09%
01/16/2025,100.3,103.0,104.2,99.9,3.00M,-2.30%
01/15/2025,102.66,102.0,106.4,101.5,8.95M,1.37%
01/14/2025,101.27,100.0,102.73,100.0,2.84M,1.40%
01/13/2025,99.87,96.98,101.8,95.0,5.50M,5.64%
01/10/2025,94.54,93.97,95.4,92.9,3.16M,-0.60%
01/09/2025,95.11,98.21,100.7,93.0,5.28M,-2.96%
01/08/2025,98.01,104.5,105.5,97.12,3.08M,-5.72%
01/07/2025,103.96,103.5,104.88,100.05,3.89M,0.44%
01/06/2025,103.5,107.77,109.95,101.39,5.07M,-3.27%
01/03/2025,107.0,111.0,111.21,106.62,4.31M,-3.60%
01/02/2025,111.0,108.2,114.85,108.2,18.02M,3.74%
01/01/2025,107.0,105.7,107.9,104.05,3.95M,2.69%
12/31/2024,104.2,107.0,108.0,103.8,2.71M,-2.25%
12/30/2024,106.6,104.59,107.75,104.15,4.46M,3.00%
12/27/2024,103.5,103.1,106.5,102.32,5.27M,0.15%
12/26/2024,103.35,103.0,105.85,99.5,5.76M,0.03%
12/24/2024,103.32,109.49,109.94,103.0,4.77M,-4.73%
12/23/2024,108.45,105.02,109.9,104.5,5.08M,2.31%
12/20/2024,106.0,97.0,106.0,95.5,8.65M,8.19%
12/19/2024,97.98,102.49,110.0,92.75,7.27M,-6.24%
12/18/2024,104.5,110.0,113.25,101.0,7.61M,-5.00%
12/17/2024,110.0,115.79,117.95,105.6,7.81M,-4.76%
12/16/2024,115.5,117.0,119.0,114.2,5.00M,-1.16%
12/13/2024,116.85,118.0,121.4,113.25,12.45M,-0.72%
12/12/2024,117.7,121.49,121.98,117.11,5.77M,-1.42%
12/11/2024,119.39,126.9,129.32,118.55,10.54M,-3.95%
12/10/2024,124.3,123.11,127.25,116.0,22.29M,2.69%
12/09/2024,121.04,111.2,121.04,110.4,13.78M,10.60%
