Date,Price,Open,High,Low,Vol.,Change %
12/20/2024,97.68,95.1,99.2,92.1,10.69M,1.71%
12/19/2024,96.04,102.0,106.9,94.01,13.08M,-6.95%
12/18/2024,103.21,107.7,110.9,102.22,15.44M,-1.86%
12/17/2024,105.17,108.2,110.8,102.11,14.62M,-1.54%
12/16/2024,106.81,103.11,108.44,101.98,17.55M,5.01%
12/13/2024,101.71,104.0,104.44,99.2,8.43M,-1.78%
12/12/2024,103.55,95.07,104.51,95.0,24.68M,8.99%
12/11/2024,95.01,88.25,95.75,87.56,18.73M,8.55%
12/10/2024,87.53,93.5,93.7,85.6,13.68M,-6.86%
12/09/2024,93.98,93.75,95.48,92.5,5.17M,0.25%
12/06/2024,93.75,95.25,96.8,93.21,6.01M,-1.07%
12/05/2024,94.76,91.7,95.0,91.0,12.54M,3.31%
12/04/2024,91.72,90.5,92.8,89.5,7.64M,1.69%
12/03/2024,90.2,91.49,91.6,88.3,4.22M,-0.36%
12/02/2024,90.53,88.5,92.1,88.49,12.38M,3.37%
11/29/2024,87.58,86.9,87.92,85.7,6.25M,1.28%
11/28/2024,86.47,84.4,86.74,83.5,5.72M,3.09%
11/27/2024,83.88,81.44,85.0,80.5,7.80M,7.22%
11/26/2024,78.23,85.0,85.0,77.5,5.04M,-7.57%
11/25/2024,84.64,82.3,85.5,82.3,3.69M,1.22%
11/22/2024,83.62,85.53,89.0,80.01,6.95M,-3.15%
11/21/2024,86.34,87.99,88.0,85.52,4.18M,-1.54%
11/20/2024,87.69,92.25,92.9,84.4,12.80M,-4.75%
11/19/2024,92.06,93.99,94.44,91.85,10.23M,0.37%
11/18/2024,91.72,87.5,93.9,86.95,19.10M,5.23%
11/15/2024,87.16,87.11,88.95,86.59,3.35M,-1.31%
11/14/2024,88.32,89.9,90.0,88.02,7.34M,-0.46%
11/13/2024,88.73,87.25,89.68,87.0,15.84M,2.84%
11/12/2024,86.28,85.0,87.0,82.01,14.05M,2.13%
11/11/2024,84.48,83.0,85.5,82.2,10.36M,2.76%
11/08/2024,82.21,80.57,83.7,80.5,3.81M,1.42%
11/07/2024,81.06,81.25,82.2,80.61,1.83M,-0.07%
11/06/2024,81.12,83.0,85.0,79.3,7.98M,-2.15%
11/05/2024,82.9,84.0,85.25,81.5,9.83M,-0.42%
11/04/2024,83.25,82.52,86.6,82.31,12.97M,2.74%
11/01/2024,81.03,75.88,81.5,75.75,11.92M,7.52%
10/31/2024,75.36,76.0,77.1,74.03,3.28M,-0.84%
10/30/2024,76.0,78.98,79.0,75.02,4.05M,-3.14%
10/29/2024,78.46,79.0,80.59,77.75,5.71M,-0.38%
10/28/2024,78.76,75.0,80.01,74.99,15.43M,4.99%
10/25/2024,75.02,76.01,76.98,74.99,2.62M,-0.87%
10/24/2024,75.68,75.0,77.4,74.62,4.23M,2.24%
10/23/2024,74.02,73.69,74.9,73.53,1.73M,0.43%
10/22/2024,73.7,74.0,74.99,73.5,1.23M,-0.27%
10/21/2024,73.9,73.52,74.4,73.16,1.40M,0.89%
10/18/2024,73.25,75.03,75.5,73.02,1.54M,-2.39%
10/17/2024,75.04,75.51,77.0,75.01,4.00M,-0.28%
10/16/2024,75.25,73.98,76.5,73.02,5.41M,1.90%
10/15/2024,73.85,73.0,74.6,72.17,2.06M,0.09%
10/14/2024,73.78,74.0,76.2,73.3,4.31M,0.72%
10/11/2024,73.25,71.11,74.5,71.11,5.93M,2.71%
10/10/2024,71.32,70.12,72.0,69.16,2.66M,1.87%
10/09/2024,70.01,71.5,72.5,69.05,4.50M,-1.41%
10/08/2024,71.01,72.48,73.9,70.45,3.92M,-1.35%
10/07/2024,71.98,67.0,73.0,66.79,9.33M,7.45%
10/04/2024,66.99,66.45,67.75,64.75,1.82M,3.06%
10/03/2024,65.0,65.55,66.1,64.67,952.15K,0.46%
10/02/2024,64.7,64.12,66.49,63.5,1.25M,0.31%
10/01/2024,64.5,62.51,64.8,62.51,609.73K,0.81%
09/30/2024,63.98,65.15,65.8,61.8,2.08M,-1.57%
09/27/2024,65.0,66.06,66.5,64.7,347.72K,-1.96%
09/26/2024,66.3,68.5,68.88,65.8,927.72K,-1.76%
09/25/2024,67.49,67.3,68.51,67.0,1.45M,-0.03%
09/24/2024,67.51,66.8,68.59,65.81,1.71M,0.75%
09/23/2024,67.01,67.35,68.0,66.6,665.29K,-0.73%
09/20/2024,67.5,67.99,68.25,67.0,1.25M,-0.44%
09/19/2024,67.8,67.39,69.3,67.0,3.96M,0.44%
09/18/2024,67.5,65.65,67.51,65.65,1.72M,2.51%
09/16/2024,65.85,65.6,66.7,65.25,491.35K,-0.20%
09/13/2024,65.98,66.5,68.28,65.32,3.15M,0.35%
09/12/2024,65.75,64.99,66.25,64.36,2.10M,1.47%
09/11/2024,64.8,63.26,64.99,63.26,856.43K,1.73%
09/10/2024,63.7,63.26,63.71,62.57,449.37K,0.47%
09/09/2024,63.4,63.8,64.31,63.12,153.46K,-0.13%
09/06/2024,63.48,63.5,64.4,63.3,345.32K,-0.03%
09/05/2024,63.5,64.0,64.48,63.36,631.05K,-1.32%
09/04/2024,64.35,63.99,65.01,63.8,746.98K,0.55%
09/03/2024,64.0,64.15,64.44,63.0,318.93K,0.00%
09/02/2024,64.0,64.42,65.0,63.7,378.25K,-0.78%
08/30/2024,64.5,64.3,65.15,64.0,370.17K,-0.62%
08/29/2024,64.9,64.69,65.4,63.52,806.08K,1.41%
08/28/2024,64.0,64.25,64.95,63.52,278.47K,-0.84%
08/27/2024,64.54,65.12,65.5,64.32,263.74K,0.05%
08/26/2024,64.51,65.88,66.44,64.12,341.69K,-2.63%
08/23/2024,66.25,64.4,67.79,64.4,2.54M,3.35%
08/22/2024,64.1,64.01,64.8,63.0,639.49K,-0.31%
08/21/2024,64.3,62.56,65.5,62.2,1.54M,2.55%
08/20/2024,62.7,62.6,63.2,61.0,757.87K,0.32%
08/19/2024,62.5,64.52,64.95,62.1,554.39K,-3.12%
08/16/2024,64.51,65.5,65.6,64.5,441.47K,-2.18%
08/15/2024,65.95,63.5,66.5,63.3,2.29M,3.69%
08/13/2024,63.6,64.49,65.5,63.6,1.33M,-0.31%
08/12/2024,63.8,67.0,68.3,63.5,4.04M,-9.90%
08/09/2024,70.81,70.05,72.8,70.0,6.33M,1.20%
08/08/2024,69.97,69.5,70.25,68.94,2.91M,1.11%
08/07/2024,69.2,69.67,70.5,69.2,4.64M,0.29%
08/06/2024,69.0,69.21,70.2,68.55,2.15M,0.00%
08/05/2024,69.0,68.25,70.45,68.12,3.98M,0.44%
08/02/2024,68.7,67.79,69.11,67.65,1.77M,0.97%
08/01/2024,68.04,67.86,68.25,67.2,641.68K,0.25%
07/31/2024,67.87,68.6,69.45,66.8,1.48M,-0.41%
07/30/2024,68.15,69.9,70.15,67.9,1.72M,-2.22%
07/29/2024,69.7,70.38,70.48,69.0,2.73M,-0.07%
07/26/2024,69.75,72.7,74.9,67.13,14.83M,-3.13%
07/25/2024,72.0,72.94,73.25,71.32,3.88M,-0.48%
07/24/2024,72.35,72.1,73.0,71.0,2.79M,0.63%
07/23/2024,71.9,74.4,75.2,71.5,6.02M,-2.71%
07/22/2024,73.9,71.89,74.5,71.11,15.16M,4.08%
07/19/2024,71.0,70.73,72.85,70.01,17.00M,2.90%
07/18/2024,69.0,68.02,69.88,68.02,2.80M,2.24%
07/15/2024,67.49,67.49,68.5,67.0,1.97M,1.11%
07/12/2024,66.75,67.0,67.0,64.75,1.02M,-0.37%
07/11/2024,67.0,66.99,67.0,66.02,1.20M,0.30%
07/10/2024,66.8,67.6,68.14,66.06,1.29M,-1.40%
07/09/2024,67.75,67.9,68.49,67.26,1.12M,-0.51%
07/08/2024,68.1,69.0,69.0,67.0,568.04K,-0.09%
07/05/2024,68.16,69.74,69.74,67.51,3.33M,-1.57%
07/04/2024,69.25,68.5,70.6,68.4,5.96M,1.67%
07/03/2024,68.11,66.2,69.1,65.65,6.17M,3.04%
07/02/2024,66.1,64.97,66.4,64.4,2.21M,2.80%
07/01/2024,64.3,63.55,64.94,63.05,1.13M,-0.46%
06/28/2024,64.6,64.0,64.6,63.01,771.08K,0.62%
06/27/2024,64.2,65.0,65.55,64.0,570.75K,-1.23%
06/26/2024,65.0,64.99,66.0,63.81,1.57M,0.78%
06/25/2024,64.5,65.49,65.49,63.99,873.24K,-0.77%
06/24/2024,65.0,65.34,65.85,64.4,1.29M,-1.07%
06/21/2024,65.7,65.5,65.75,63.5,1.79M,1.08%
06/20/2024,65.0,65.98,66.18,64.66,892.67K,-0.76%
06/14/2024,65.5,65.0,66.39,64.28,1.71M,0.31%
06/13/2024,65.3,62.5,65.3,62.13,4.21M,5.36%
06/12/2024,61.98,60.67,62.98,60.65,3.44M,1.42%
06/11/2024,61.11,62.35,62.38,60.5,969.92K,-0.71%
06/10/2024,61.55,62.01,63.4,61.3,1.93M,-0.08%
06/07/2024,61.6,62.95,62.95,61.5,3.19M,-2.22%
06/06/2024,63.0,63.51,64.39,62.6,1.11M,-0.32%
06/05/2024,63.2,65.0,65.02,63.06,1.65M,-2.75%
06/04/2024,64.99,66.0,66.8,64.7,624.83K,-1.53%
06/03/2024,66.0,66.62,67.19,65.99,774.75K,-0.45%
05/31/2024,66.3,66.58,67.24,66.2,1.50M,-0.15%
05/30/2024,66.4,66.99,67.5,65.8,797.30K,-0.15%
05/29/2024,66.5,67.57,67.85,66.1,956.20K,-2.21%
05/27/2024,68.0,68.45,68.6,67.01,1.19M,0.01%
05/24/2024,67.99,68.95,69.3,67.8,1.62M,-1.39%
05/23/2024,68.95,68.5,68.99,66.8,2.07M,2.12%
05/22/2024,67.52,69.99,69.99,67.25,1.58M,-2.85%
05/21/2024,69.5,70.11,71.0,69.4,1.09M,-0.71%
05/20/2024,70.0,70.0,70.5,69.19,1.28M,-0.21%
05/17/2024,70.15,70.5,71.24,69.82,1.55M,-0.36%
05/16/2024,70.4,70.75,71.2,69.71,1.34M,-1.05%
05/15/2024,71.15,73.8,74.1,71.0,6.47M,-2.53%
05/14/2024,73.0,71.39,73.75,70.3,9.32M,3.47%
05/13/2024,70.55,70.5,71.85,70.5,3.11M,0.37%
05/10/2024,70.29,68.88,70.71,68.8,3.08M,2.18%
05/09/2024,68.79,69.11,69.26,67.0,1.42M,-0.65%
05/08/2024,69.24,70.0,71.3,68.01,4.43M,-0.66%
05/07/2024,69.7,71.5,71.99,69.4,2.51M,-2.11%
05/06/2024,71.2,71.8,73.5,70.55,6.04M,0.56%
05/03/2024,70.8,68.12,71.48,68.12,7.64M,3.81%
05/02/2024,68.2,67.0,69.7,66.72,4.66M,1.41%
04/30/2024,67.25,67.0,69.5,66.8,5.48M,0.37%
04/29/2024,67.0,66.27,68.0,65.9,3.18M,0.22%
04/26/2024,66.85,67.0,67.5,66.2,1.30M,-0.67%
04/25/2024,67.3,66.78,69.1,66.48,5.91M,1.49%
