Date,Price,Open,High,Low,Vol.,Change %
01/03/2025,221.66,231.0,237.9,218.00,1.27M,-2.61%
01/02/2025,227.61,220.0,236.9,217.00,2.12M,3.36%
01/01/2025,220.21,230.0,233.02,215.00,936.37K,-3.56%
12/31/2024,228.35,229.98,242.69,225.03,1.69M,3.27%
12/30/2024,221.12,203.01,221.12,203.01,3.15M,10.00%
12/27/2024,201.02,200.1,204.98,198.51,483.25K,0.68%
12/26/2024,199.67,208.9,210.16,195.01,1.01M,-4.97%
12/24/2024,210.11,212.0,224.9,207.00,2.39M,-0.48%
12/23/2024,211.12,206.0,219.0,200.60,2.90M,3.80%
12/20/2024,203.4,186.0,204.07,182.61,4.56M,9.64%
12/19/2024,185.52,168.0,185.52,165.00,3.01M,10.00%
12/18/2024,168.65,185.0,187.98,165.60,1.96M,-8.33%
12/17/2024,183.97,195.0,195.0,174.90,1.91M,-5.30%
12/16/2024,194.26,197.01,205.33,192.01,1.87M,-0.99%
12/13/2024,196.2,207.0,207.0,193.50,1.66M,-3.51%
12/12/2024,203.33,193.5,207.0,192.50,3.36M,6.63%
12/11/2024,190.68,190.0,205.3,187.15,3.73M,2.13%
12/10/2024,186.7,204.49,205.9,186.58,4.92M,-9.94%
12/09/2024,207.31,219.0,233.9,201.00,4.02M,-6.26%
12/06/2024,221.15,215.44,225.03,211.00,4.46M,8.10%
12/05/2024,204.57,188.88,204.57,188.00,2.87M,10.00%
12/04/2024,185.97,169.0,185.98,169.00,4.91M,10.00%
12/03/2024,169.07,170.0,174.9,165.50,3.07M,1.90%
12/02/2024,165.91,160.02,170.0,160.02,3.26M,2.78%
11/29/2024,161.42,163.98,173.98,159.00,5.11M,2.06%
11/28/2024,158.16,148.0,158.16,147.00,3.73M,10.00%
11/27/2024,143.78,138.48,143.78,134.05,1.25M,10.00%
11/26/2024,130.71,146.98,146.98,130.50,1.27M,-9.86%
11/25/2024,145.0,147.95,149.5,144.00,682.62K,-3.22%
11/22/2024,149.82,148.4,155.5,143.01,3.47M,0.96%
11/21/2024,148.4,154.67,164.44,139.20,10.24M,-4.05%
11/20/2024,154.67,145.0,154.67,141.00,4.45M,10.00%
11/19/2024,140.61,136.44,140.61,131.00,3.69M,10.00%
11/18/2024,127.83,120.99,127.83,119.00,3.55M,10.00%
11/15/2024,116.21,106.5,116.97,106.50,4.62M,9.28%
11/14/2024,106.34,107.0,108.9,105.21,454.96K,-0.84%
11/13/2024,107.24,105.2,109.5,105.20,457.47K,-0.10%
11/12/2024,107.35,107.02,111.0,107.00,469.52K,-0.46%
11/11/2024,107.85,113.9,113.9,105.51,838.25K,-3.89%
